Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
000,REL.L,520.574,603.128,582.481,2007-12-28,599.174,583.36
000,REL.L,510.269,593.902,585.556,2007-12-27,587.313,585.995
000,REL.L,514.468,592.146,592.146,2007-12-26,592.146,592.146
000,REL.L,514.468,592.146,592.146,2007-12-25,592.146,592.146
000,REL.L,514.468,594.781,554.219,2007-12-24,592.146,581.603
000,REL.L,508.743,592.584,583.36,2007-12-21,585.556,585.556
000,REL.L,503.781,580.724,565.789,2007-12-20,579.845,568.424
000,REL.L,493.858,571.06,556.124,2007-12-19,568.424,559.20
8366500,REL.L,485.462,572.817,558.76,2007-12-18,558.76,565.35
000,REL.L,494.622,573.696,556.124,2007-12-17,569.303,556.124
000,REL.L,488.897,566.228,545.142,2007-12-14,562.714,545.582
000,REL.L,473.63,556.124,543.386,2007-12-13,545.142,553.928
000,REL.L,480.882,558.76,541.19,2007-12-12,553.489,543.386
000,REL.L,478.211,562.275,549.096,2007-12-11,550.414,560.517
000,REL.L,487.752,564.91,554.368,2007-12-10,561.396,554.368
000,REL.L,485.844,562.275,551.293,2007-12-07,559.20,554.368
000,REL.L,479.737,557.881,540.311,2007-12-06,552.172,546.461
000,REL.L,474.776,546.461,528.889,2007-12-05,546.461,530.208
000,REL.L,458.365,536.357,523.178,2007-12-04,527.572,536.357
000,REL.L,462.944,541.19,531.964,2007-12-03,532.843,537.236
000,REL.L,467.142,543.386,532.404,2007-11-30,537.675,537.675
000,REL.L,465.616,535.918,520.104,2007-11-29,535.918,521.861
000,REL.L,446.915,516.15,495.065,2007-11-28,514.394,505.168
000,REL.L,435.084,502.533,491.99,2007-11-27,500.776,502.093
8554900,REL.L,438.90,515.711,503.851,2007-11-26,505.168,511.758
000,REL.L,442.335,510.879,492.43,2007-11-23,509.122,496.383
000,REL.L,429.741,495.505,484.083,2007-11-22,494.626,493.747
000,REL.L,425.924,505.168,488.256,2007-11-21,490.233,501.654
000,REL.L,441.19,510.00,499.018,2007-11-20,507.804,503.412
000,REL.L,433.557,525.375,499.018,2007-11-19,499.018,519.665
000,REL.L,451.113,527.132,518.786,2007-11-16,519.226,518.786
000,REL.L,453.785,538.554,518.347,2007-11-15,522.301,532.843
000,REL.L,462.181,533.721,522.301,2007-11-14,531.964,528.889
000,REL.L,453.403,525.814,510.00,2007-11-13,521.861,510.44
000,REL.L,446.152,522.739,509.561,2007-11-12,513.515,517.468
000,REL.L,453.022,530.208,515.711,2007-11-09,521.422,530.208
000,REL.L,456.838,531.964,521.861,2007-11-08,525.814,528.45
000,REL.L,460.273,538.993,529.329,2007-11-07,529.768,535.918
000,REL.L,464.471,538.993,531.525,2007-11-06,534.60,538.993
000,REL.L,466.379,547.339,536.357,2007-11-05,536.796,543.386
000,REL.L,474.776,549.096,538.554,2007-11-02,546.461,538.554
000,REL.L,472.485,551.732,541.19,2007-11-01,543.825,549.096
000,REL.L,479.355,552.61,540.75,2007-10-31,551.732,544.703
000,REL.L,472.485,545.142,539.871,2007-10-30,543.825,543.825
000,REL.L,472.868,548.218,541.19,2007-10-29,544.264,548.218
000,REL.L,472.104,545.582,534.929,2007-10-26,543.386,536.357
000,REL.L,467.142,541.19,534.60,2007-10-25,537.675,536.796
000,REL.L,464.471,536.796,529.768,2007-10-24,534.60,534.60
000,REL.L,463.326,550.414,524.497,2007-10-23,533.283,532.404
000,REL.L,459.128,531.085,520.982,2007-10-22,528.45,522.301
000,REL.L,458.746,528.45,521.861,2007-10-19,528.011,524.057
000,REL.L,456.838,533.283,522.739,2007-10-18,525.814,530.208
000,REL.L,459.891,535.918,526.254,2007-10-17,529.329,530.208
000,REL.L,461.417,542.067,530.647,2007-10-16,531.085,539.432
000,REL.L,468.287,546.461,538.554,2007-10-15,538.993,545.142
000,REL.L,476.302,550.414,541.628,2007-10-12,548.218,541.628
000,REL.L,472.104,549.096,539.871,2007-10-11,543.386,542.507
000,REL.L,469.051,543.825,535.039,2007-10-10,539.871,536.796
000,REL.L,467.142,542.067,532.404,2007-10-09,537.675,534.16
000,REL.L,462.944,543.386,532.843,2007-10-08,532.843,540.311
000,REL.L,470.196,548.964,537.675,2007-10-05,541.19,539.871
000,REL.L,468.669,542.946,539.432,2007-10-04,539.432,540.75
000,REL.L,472.104,546.90,541.628,2007-10-03,543.386,545.582
000,REL.L,472.104,553.489,542.946,2007-10-02,543.386,548.657
000,REL.L,475.539,549.974,535.918,2007-10-01,547.339,538.993
000,REL.L,471.722,544.703,540.311,2007-09-28,542.946,543.386
000,REL.L,472.104,551.293,542.067,2007-09-27,543.386,543.825
000,REL.L,471.722,549.535,542.507,2007-09-26,542.946,547.778
000,REL.L,471.341,549.974,540.311,2007-09-25,542.507,548.657
000,REL.L,478.592,554.368,550.414,2007-09-24,550.853,552.61
000,REL.L,483.554,560.517,551.732,2007-09-21,556.564,552.61
000,REL.L,483.935,557.443,548.657,2007-09-20,557.003,553.489
000,REL.L,481.263,556.564,539.871,2007-09-19,553.928,549.974
000,REL.L,466.379,539.871,530.208,2007-09-18,536.796,533.721
000,REL.L,463.708,540.311,531.964,2007-09-17,533.721,538.993
000,REL.L,464.089,538.114,528.011,2007-09-14,534.16,532.843
000,REL.L,459.128,528.889,522.78,2007-09-13,528.45,524.497
000,REL.L,459.509,529.768,519.665,2007-09-12,528.889,524.057
000,REL.L,454.548,524.057,516.15,2007-09-11,523.178,518.347
2844900,REL.L,444.625,520.982,510.44,2007-09-10,511.758,517.468
000,REL.L,448.441,526.254,515.272,2007-09-07,516.15,525.375
000,REL.L,457.982,527.132,517.468,2007-09-06,527.132,523.618
000,REL.L,451.113,529.654,518.786,2007-09-05,519.226,528.889
000,REL.L,459.891,530.647,523.178,2007-09-04,529.329,530.208
000,REL.L,459.509,531.085,520.982,2007-09-03,528.889,526.254
000,REL.L,456.838,528.011,519.226,2007-08-31,525.814,523.178
000,REL.L,453.785,524.264,517.468,2007-08-30,522.301,520.543
000,REL.L,450.731,519.665,506.925,2007-08-29,518.786,510.879
000,REL.L,445.77,521.861,513.075,2007-08-28,513.075,518.347
000,REL.L,451.495,519.665,519.665,2007-08-27,519.665,519.665
000,REL.L,451.495,521.861,512.196,2007-08-24,519.665,513.954
000,REL.L,447.679,521.861,514.832,2007-08-23,515.272,516.15
000,REL.L,445.77,515.272,506.486,2007-08-22,513.075,512.636
000,REL.L,441.572,513.075,506.925,2007-08-21,508.244,507.804
000,REL.L,441.19,524.497,507.804,2007-08-20,507.804,520.982
000,REL.L,453.022,532.843,493.308,2007-08-17,521.422,498.14
000,REL.L,437.374,521.422,502.972,2007-08-16,503.412,517.907
000,REL.L,455.693,528.45,519.226,2007-08-15,524.497,523.178
000,REL.L,456.838,530.208,523.178,2007-08-14,525.814,523.178
000,REL.L,457.982,529.329,519.226,2007-08-13,527.132,522.739
000,REL.L,450.35,536.383,518.347,2007-08-10,518.347,524.057
000,REL.L,458.365,540.311,524.936,2007-08-09,527.572,537.675
000,REL.L,466.761,539.309,526.254,2007-08-08,537.236,529.768
000,REL.L,458.746,559.235,522.301,2007-08-07,528.011,527.132
000,REL.L,456.456,527.132,518.347,2007-08-06,525.375,518.786
000,REL.L,453.785,531.525,521.861,2007-08-03,522.301,531.525
000,REL.L,461.799,534.60,526.254,2007-08-02,531.525,530.208
000,REL.L,457.601,531.964,520.982,2007-08-01,526.693,527.132
000,REL.L,463.614,543.196,531.525,2007-07-31,538.114,538.554
000,REL.L,460.587,538.114,528.011,2007-07-30,534.60,528.011
000,REL.L,455.289,536.796,524.497,2007-07-27,528.45,525.375
000,REL.L,454.91,559.639,528.011,2007-07-26,528.011,555.685
000,REL.L,473.833,555.246,542.507,2007-07-25,549.974,544.703
000,REL.L,474.59,560.956,550.414,2007-07-24,550.853,557.881
000,REL.L,484.43,564.91,557.881,2007-07-23,562.275,560.517
000,REL.L,484.43,568.863,561.396,2007-07-20,562.275,562.275
000,REL.L,488.215,572.817,564.471,2007-07-19,566.667,570.621
000,REL.L,491.243,574.574,566.228,2007-07-18,570.182,566.228
000,REL.L,496.541,593.296,571.499,2007-07-17,576.332,589.071
000,REL.L,510.922,597.856,575.858,2007-07-16,593.023,582.92
000,REL.L,502.596,585.556,576.77,2007-07-13,583.36,579.845
000,REL.L,496.162,575.892,565.789,2007-07-12,575.892,566.667
000,REL.L,488.972,570.182,561.835,2007-07-11,567.546,562.714
000,REL.L,488.215,567.546,561.664,2007-07-10,566.667,561.835
000,REL.L,484.051,564.031,558.76,2007-07-09,561.835,562.275
000,REL.L,481.781,560.078,553.489,2007-07-06,559.20,556.564
000,REL.L,480.645,559.639,553.489,2007-07-05,557.881,557.881
000,REL.L,481.402,562.829,557.003,2007-07-04,558.76,560.078
000,REL.L,483.294,565.789,559.639,2007-07-03,560.956,564.471
000,REL.L,483.673,567.985,560.078,2007-07-02,561.396,565.35
000,REL.L,489.35,570.182,557.443,2007-06-29,567.985,558.321
000,REL.L,479.888,559.20,554.368,2007-06-28,557.003,557.881
000,REL.L,478.753,560.078,552.172,2007-06-27,555.685,553.489
000,REL.L,479.888,564.471,555.167,2007-06-26,557.003,560.956
000,REL.L,486.322,565.789,553.049,2007-06-25,564.471,555.246
000,REL.L,480.645,567.107,557.003,2007-06-22,557.881,565.789
000,REL.L,486.322,566.228,560.956,2007-06-21,564.471,563.153
000,REL.L,487.079,576.332,563.592,2007-06-20,565.35,571.06
000,REL.L,491.621,578.528,570.182,2007-06-19,570.621,575.892
000,REL.L,497.298,583.36,576.209,2007-06-18,577.21,579.845
000,REL.L,499.947,583.36,580.285,2007-06-15,580.285,576.332
000,REL.L,494.27,581.603,571.499,2007-06-14,573.696,575.453
000,REL.L,489.729,572.378,560.956,2007-06-13,568.424,567.985
000,REL.L,489.729,580.285,566.228,2007-06-12,568.424,576.77
000,REL.L,499.19,579.995,572.817,2007-06-11,579.406,572.817
000,REL.L,493.135,575.453,564.91,2007-06-08,572.378,567.985
000,REL.L,490.107,583.799,566.781,2007-06-07,568.863,583.36
000,REL.L,498.433,589.949,577.649,2007-06-06,578.528,589.949
000,REL.L,506.381,595.659,587.752,2007-06-05,587.752,593.463
000,REL.L,513.193,603.128,593.023,2007-06-04,595.659,603.128
000,REL.L,521.897,605.763,600.053,2007-06-01,605.763,600.053
000,REL.L,516.599,602.688,592.584,2007-05-31,599.613,597.856
000,REL.L,512.436,596.099,585.345,2007-05-30,594.781,585.995
000,REL.L,511.301,593.902,584.239,2007-05-29,593.463,585.556
000,REL.L,499.19,579.406,579.406,2007-05-28,579.406,579.406
000,REL.L,499.19,586.434,573.696,2007-05-25,579.406,575.453
000,REL.L,499.947,601.809,579.845,2007-05-24,580.285,585.117
000,REL.L,506.381,591.943,585.995,2007-05-23,587.752,587.313
000,REL.L,508.652,596.538,588.631,2007-05-22,590.388,593.023
000,REL.L,512.815,604.445,593.463,2007-05-21,595.22,602.688
000,REL.L,519.627,605.324,592.584,2007-05-18,603.128,596.538
000,REL.L,512.058,597.241,591.267,2007-05-17,594.342,596.538
000,REL.L,513.193,598.295,590.827,2007-05-16,595.659,592.146
000,REL.L,512.436,604.005,588.192,2007-05-15,594.781,589.071
000,REL.L,504.11,593.023,579.845,2007-05-14,585.117,584.239
000,REL.L,501.839,583.36,558.321,2007-05-11,582.481,558.321
000,REL.L,488.215,569.742,562.275,2007-05-10,566.667,562.275
000,REL.L,488.593,573.696,564.884,2007-05-09,567.107,569.742
000,REL.L,489.35,588.631,561.396,2007-05-08,567.985,576.332
000,REL.L,491.999,571.06,571.06,2007-05-07,571.06,571.06
000,REL.L,491.999,577.649,480.569,2007-05-04,571.06,552.61
000,REL.L,478.375,564.031,554.368,2007-05-03,555.246,564.031
000,REL.L,485.187,580.988,557.881,2007-05-02,563.153,562.275
000,REL.L,487.458,567.985,551.732,2007-05-01,565.789,557.443
000,REL.L,482.916,560.755,549.535,2007-04-30,560.517,549.535
000,REL.L,476.861,799.431,548.657,2007-04-27,553.489,548.657
000,REL.L,475.347,553.049,547.339,2007-04-26,551.732,550.853
000,REL.L,471.941,554.368,546.461,2007-04-25,547.778,546.461
000,REL.L,471.184,555.588,544.264,2007-04-24,546.90,548.657
000,REL.L,473.076,550.853,546.90,2007-04-23,549.096,546.90
000,REL.L,470.049,546.90,539.432,2007-04-20,545.582,542.507
000,REL.L,465.885,542.507,535.918,2007-04-19,540.75,538.993
000,REL.L,466.642,545.582,535.479,2007-04-18,541.628,542.067
000,REL.L,463.667,550.853,538.114,2007-04-17,549.974,539.432
000,REL.L,456.26,548.433,538.993,2007-04-16,541.19,545.142
000,REL.L,459.223,546.90,539.432,2007-04-13,544.703,542.067
000,REL.L,455.519,544.264,537.236,2007-04-12,540.311,540.311
000,REL.L,458.482,547.778,538.993,2007-04-11,543.825,542.067
000,REL.L,458.112,545.582,534.60,2007-04-10,543.386,540.75
000,REL.L,455.89,540.75,540.75,2007-04-09,540.75,540.75
000,REL.L,455.89,540.75,540.75,2007-04-06,540.75,540.75
000,REL.L,455.89,542.507,537.236,2007-04-05,540.75,542.507
000,REL.L,457.00,543.825,536.796,2007-04-04,542.067,539.432
000,REL.L,455.89,541.19,536.796,2007-04-03,540.75,538.993
000,REL.L,453.297,540.75,531.964,2007-04-02,537.675,536.796
000,REL.L,449.964,535.479,528.889,2007-03-30,533.721,531.085
000,REL.L,449.594,535.918,530.208,2007-03-29,533.283,531.525
000,REL.L,448.113,534.16,525.814,2007-03-28,531.525,530.647
000,REL.L,446.631,535.918,524.936,2007-03-27,529.768,535.918
000,REL.L,448.113,536.796,525.048,2007-03-26,531.525,530.208
000,REL.L,448.853,534.16,523.178,2007-03-23,532.404,525.814
000,REL.L,444.779,534.16,525.375,2007-03-22,527.572,530.208
000,REL.L,445.149,530.208,525.375,2007-03-21,528.011,527.572
000,REL.L,446.631,530.647,514.394,2007-03-20,529.768,515.272
000,REL.L,436.632,523.618,514.394,2007-03-19,517.907,520.982
000,REL.L,437.743,521.861,512.196,2007-03-16,519.226,517.029
000,REL.L,437.003,518.347,504.29,2007-03-15,518.347,507.804
000,REL.L,421.819,507.804,500.337,2007-03-14,500.337,502.972
000,REL.L,428.114,748.334,507.804,2007-03-13,507.804,516.59
000,REL.L,434.41,519.226,512.636,2007-03-12,515.272,519.226
000,REL.L,436.262,520.104,514.832,2007-03-09,517.468,518.347
000,REL.L,438.483,520.982,515.711,2007-03-08,520.104,517.468
000,REL.L,437.003,523.618,512.196,2007-03-07,518.347,520.543
000,REL.L,437.003,518.347,506.047,2007-03-06,518.347,507.365
000,REL.L,428.114,528.27,507.804,2007-03-05,507.804,506.486
000,REL.L,435.891,522.739,514.832,2007-03-02,517.029,517.907
000,REL.L,436.632,529.768,513.075,2007-03-01,517.907,522.739
000,REL.L,439.595,536.796,519.665,2007-02-28,521.422,530.647
000,REL.L,455.89,543.386,535.039,2007-02-27,540.75,536.796
000,REL.L,458.482,544.703,535.039,2007-02-26,543.825,535.039
000,REL.L,457.00,544.641,539.432,2007-02-23,542.067,540.311
000,REL.L,459.593,549.096,545.142,2007-02-22,545.142,546.021
000,REL.L,462.556,553.049,542.067,2007-02-21,548.657,542.067
000,REL.L,461.815,549.096,543.825,2007-02-20,547.778,543.825
000,REL.L,462.556,556.564,547.339,2007-02-19,548.657,556.564
000,REL.L,471.073,564.268,554.807,2007-02-16,558.76,560.517
000,REL.L,477.37,570.621,529.476,2007-02-15,566.228,552.61
000,REL.L,447.742,532.843,525.814,2007-02-14,531.085,531.525
000,REL.L,448.113,534.082,525.814,2007-02-13,531.525,526.254
000,REL.L,442.557,535.479,521.861,2007-02-12,524.936,521.861
000,REL.L,444.409,528.889,524.936,2007-02-09,527.132,524.936
000,REL.L,441.076,528.591,522.301,2007-02-08,523.178,522.739
000,REL.L,441.816,527.572,520.543,2007-02-07,524.057,523.618
000,REL.L,442.187,528.011,519.226,2007-02-06,524.497,520.982
000,REL.L,439.965,528.011,521.861,2007-02-05,521.861,524.936
000,REL.L,444.409,528.889,517.468,2007-02-02,527.132,518.347
000,REL.L,437.743,521.861,512.196,2007-02-01,519.226,512.636
000,REL.L,430.336,516.15,509.122,2007-01-31,510.44,513.075
000,REL.L,435.15,520.543,515.272,2007-01-30,516.15,519.226
000,REL.L,437.743,521.949,513.075,2007-01-29,519.226,515.272
000,REL.L,435.15,521.861,512.926,2007-01-26,516.15,514.394
000,REL.L,438.113,529.768,517.907,2007-01-25,519.665,527.572
000,REL.L,444.779,528.889,523.178,2007-01-24,527.572,524.057
000,REL.L,440.706,528.889,521.422,2007-01-23,522.739,526.254
000,REL.L,444.409,538.114,527.132,2007-01-22,527.132,536.357
000,REL.L,452.927,538.554,531.085,2007-01-19,537.236,531.525
000,REL.L,450.705,535.918,526.693,2007-01-18,534.60,527.132
000,REL.L,443.298,527.572,518.786,2007-01-17,525.814,521.422
000,REL.L,441.446,527.572,519.226,2007-01-16,523.618,519.226
000,REL.L,439.595,530.647,521.422,2007-01-15,521.422,530.647
000,REL.L,447.002,531.442,525.375,2007-01-12,530.208,527.572
000,REL.L,446.261,531.626,513.075,2007-01-11,529.329,513.075
000,REL.L,431.077,515.711,501.654,2007-01-10,511.319,504.729
000,REL.L,425.892,506.944,499.018,2007-01-09,505.168,502.533
000,REL.L,423.67,512.965,501.215,2007-01-08,502.533,509.122
000,REL.L,428.114,517.029,496.383,2007-01-05,507.804,496.822
000,REL.L,419.966,504.858,497.261,2007-01-04,498.14,497.701
000,REL.L,421.078,500.337,492.43,2007-01-03,499.458,494.186
000,REL.L,417.745,496.822,492.869,2007-01-02,495.505,492.869
000,REL.L,415.152,492.43,492.43,2007-01-01,492.43,492.43
000,REL.L,415.152,496.383,490.233,2006-12-29,492.43,494.626
000,REL.L,416.633,574.267,492.43,2006-12-28,494.186,495.065
000,REL.L,415.893,493.895,490.233,2006-12-27,493.308,490.233
000,REL.L,414.412,491.551,491.551,2006-12-26,491.551,491.551
000,REL.L,414.412,491.551,491.551,2006-12-25,491.551,491.551
000,REL.L,414.412,491.99,487.598,2006-12-22,491.551,491.99
000,REL.L,413.671,492.869,487.158,2006-12-21,490.672,489.794
000,REL.L,412.56,494.186,488.476,2006-12-20,489.355,492.43
000,REL.L,412.56,491.99,487.598,2006-12-19,489.355,490.233
000,REL.L,413.671,493.747,487.598,2006-12-18,490.672,491.111
000,REL.L,414.041,497.261,489.794,2006-12-15,491.111,494.626
000,REL.L,418.485,498.579,494.186,2006-12-14,496.383,498.14
000,REL.L,417.374,496.822,489.253,2006-12-13,495.065,491.551
000,REL.L,415.152,498.14,491.551,2006-12-12,492.43,496.822
000,REL.L,419.966,504.729,497.261,2006-12-11,498.14,500.337
000,REL.L,421.448,500.486,495.065,2006-12-08,499.897,496.383
000,REL.L,418.485,500.776,492.43,2006-12-07,496.383,495.505
000,REL.L,418.485,504.729,492.869,2006-12-06,496.383,499.458
000,REL.L,422.929,503.851,498.14,2006-12-05,501.654,500.776
000,REL.L,419.966,499.458,490.233,2006-12-04,498.14,490.233
000,REL.L,413.671,495.505,490.672,2006-12-01,490.672,488.476
000,REL.L,411.819,497.261,488.476,2006-11-30,488.476,495.505
000,REL.L,418.115,499.967,488.476,2006-11-29,495.944,488.915
000,REL.L,411.449,491.99,484.523,2006-11-28,488.036,486.719
000,REL.L,410.708,493.783,486.719,2006-11-27,487.158,488.915
000,REL.L,414.041,493.308,487.158,2006-11-24,491.111,491.111
000,REL.L,414.041,499.018,489.794,2006-11-23,491.111,499.018
000,REL.L,418.485,501.654,494.186,2006-11-22,496.383,498.14
000,REL.L,420.337,502.533,497.261,2006-11-21,498.579,498.14
000,REL.L,420.707,501.716,496.383,2006-11-20,499.018,498.579
000,REL.L,422.559,506.925,500.776,2006-11-17,501.215,501.215
000,REL.L,424.781,521.422,495.505,2006-11-16,503.851,519.665
000,REL.L,444.779,530.647,524.162,2006-11-15,527.572,524.936
000,REL.L,441.816,531.085,523.178,2006-11-14,524.057,527.132
000,REL.L,444.409,528.889,523.178,2006-11-13,527.132,524.057
