,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event
1824,ags,16553,0.00%,-0.013582746,7440,74,0.0
1825,ags,16554,-2.56%,-0.001417963,7440,74,0.0
1826,ags,16559,0.00%,0.009095093,7440,74,0.0
1827,ags,16560,0.00%,0.005167558,7440,74,0.0
1828,ags,16561,0.00%,0.005707819,7440,74,0.0
1829,ags,16562,0.00%,0.004337201,7440,74,0.0
1830,ags,16565,-1.32%,-0.003390596,7440,74,0.0
1831,ags,16566,0.00%,-0.007306199,7440,74,0.0
1832,ags,16567,0.00%,-0.002138066,7440,74,0.0
1833,ags,16568,0.00%,0.00612259,7440,74,0.0
1834,ags,16569,0.00%,4.99759e-05,7440,74,0.0
1835,ags,16572,0.00%,-0.004197651,7440,74,0.0
1836,ags,16573,0.00%,0.001030659,7440,74,0.0
1837,ags,16574,0.00%,0.011437487,7440,74,0.0
1838,ags,16575,0.00%,0.004704767,7440,74,0.0
1839,ags,16576,0.00%,0.000876537,7440,74,0.0
1840,ags,16579,0.00%,0.004109947,7440,74,0.0
1841,ags,16580,0.00%,-0.000789218,7440,74,0.0
1842,ags,16581,0.00%,-0.000570614,7440,74,0.0
1843,ags,16582,0.00%,0.007013857,7440,74,0.0
1844,ags,16583,0.00%,-0.000882414,7440,74,0.0
1845,ags,16587,-1.33%,0.00448707,7440,74,0.0
1846,ags,16588,0.00%,0.013386121,7440,74,0.0
1847,ags,16589,0.00%,-0.000151309,7440,74,0.0
1848,ags,16596,0.00%,0.004257242,7440,74,0.0
1849,ags,16597,0.00%,0.006048266,7440,74,0.0
1850,ags,16600,-1.35%,0.00398708,7440,74,0.0
1851,ags,16601,0.00%,0.00138692,7440,74,0.0
1852,ags,16602,0.00%,-0.004020325,7440,74,0.0
1853,ags,16603,-4.11%,0.00552928,7440,74,0.0
1854,ags,16604,-4.29%,0.001313935,7440,74,0.0
1855,ags,16607,-1.49%,-0.000337068,7440,74,0.0
1856,ags,16608,-7.58%,0.004808192,7440,74,0.0
1857,ags,16609,-1.64%,0.00116199,7440,74,0.0
1858,ags,16610,-3.33%,0.004202994,7440,74,0.0
1859,ags,16611,0.00%,-0.008151721,7440,74,0.0
1860,ags,16614,0.00%,-0.009713451,7440,74,0.0
1861,ags,16615,0.00%,0.008522274,7440,74,0.0
1862,ags,16616,0.00%,0.002964198,7440,74,0.0
1863,ags,16617,0.00%,-0.003136038,7440,74,0.0
1864,ags,16618,0.00%,0.007810287,7440,74,0.0
1865,ags,16622,0.00%,0.000251759,7440,74,0.0
1866,ags,16623,0.00%,0.005896191,7440,74,0.0
1867,ags,16624,-1.72%,-0.018221237,7440,74,0.0
1868,ags,16625,0.00%,0.013775767,7440,74,0.0
1869,ags,16628,0.00%,0.005260896,7440,74,0.0
1870,ags,16629,0.00%,-0.003822247,7440,74,0.0
1871,ags,16630,0.00%,0.005712415,7440,74,0.0
1872,ags,16631,1.75%,0.004567566,7440,74,0.0
1873,ags,16632,0.00%,-0.001803078,7440,74,0.0
1874,ags,16635,1.72%,-0.00235759,7440,74,0.0
1875,ags,16637,0.00%,0.001742948,7440,74,0.0
1876,ags,16638,0.00%,0.00144099,7440,74,0.0
1877,ags,16639,0.00%,0.000699887,7440,74,0.0
1878,ags,16642,0.00%,0.004161065,7440,74,0.0
1879,ags,16643,0.00%,0.000593994,7440,74,0.0
1880,ags,16644,0.00%,0.002805696,7440,74,0.0
1881,ags,16645,0.00%,0.004968441,7440,74,0.0
1882,ags,16646,0.00%,-0.000589054,7440,74,0.0
1883,ags,16649,0.00%,0.000929765,7440,74,0.0
1884,ags,16650,0.00%,0.00751486,7440,74,0.0
1885,ags,16651,1.67%,-0.001221051,7440,74,0.0
1886,ags,16652,0.00%,-0.007534257,7440,74,0.0
1887,ags,16653,0.00%,-0.003800867,7440,74,0.0
1888,ags,16656,0.00%,0.006249821,7440,74,0.0
1889,ags,16657,0.00%,0.00610608,7440,74,0.0
1890,ags,16658,0.00%,0.008320427,7440,74,0.0
1891,ags,16659,0.00%,-0.003109527,7440,74,0.0
1892,ags,16660,0.00%,-0.002267577,7440,74,0.0
1893,ags,16663,0.00%,-0.00040249,7440,74,0.0
1894,ags,16664,0.00%,-0.00238477,7440,74,0.0
1895,ags,16665,0.00%,-0.002567908,7440,74,0.0
1896,ags,16666,0.00%,-0.003153555,7440,74,0.0
1897,ags,16667,0.00%,0.009546662,7440,74,0.0
1898,ags,16670,0.00%,0.000672486,7440,74,0.0
1899,ags,16672,0.00%,-0.010565436,7440,74,0.0
1900,ags,16673,0.00%,-0.006806104,7440,74,0.0
1901,ags,16679,0.00%,0.004000885,7440,74,0.0
1902,ags,16680,0.00%,0.007095878,7440,74,0.0
1903,ags,16681,0.00%,-0.000449724,7440,74,0.0
1904,ags,16685,0.00%,0.014010715,7440,74,0.0
1905,ags,16686,0.00%,0.003797298,7440,74,0.0
1906,ags,16687,-1.64%,-0.000962805,7440,74,0.0
1907,ags,16688,0.00%,0.003097197,7440,74,0.0
1908,ags,16691,0.00%,0.002287577,7440,74,0.0
1909,ags,16692,0.00%,-0.006935666,7440,74,0.0
1910,ags,16693,0.00%,0.003318491,7440,74,0.0
1911,ags,16694,-1.67%,0.000246603,7440,74,0.0
1912,ags,16695,0.00%,0.006011041,7440,74,0.0
1913,ags,16698,-1.69%,0.002443217,7440,74,0.0
1914,ags,16699,0.00%,0.001109965,7440,74,0.0
1915,ags,16700,-3.45%,-0.010290694,7440,74,0.0
1916,ags,16701,0.00%,-0.003597179,7440,74,0.0
1917,ags,16702,0.00%,0.004717265,7440,74,0.0
1918,ags,16706,0.00%,0.00889761,7440,74,0.0
1919,ags,16707,0.00%,0.008527436,7440,74,0.0
1920,ags,16708,0.00%,-0.003386793,7440,74,0.0
1921,ags,16709,0.00%,0.003648049,7440,74,0.0
1922,ags,16712,0.00%,0.007895011,7440,74,0.0
1923,ags,16713,0.00%,0.002862391,7440,74,0.0
1924,ags,16714,0.00%,-0.010289105,7440,74,0.0
1925,ags,16716,-1.79%,-0.01831506,7440,74,0.0
1926,ags,16719,0.00%,0.002749305,7440,74,0.0
1927,ags,16720,0.00%,0.002301409,7440,74,0.0
1928,ags,16726,0.00%,-0.016069232,7440,74,0.0
1929,ags,16727,0.00%,-0.001970045,7440,74,0.0
1930,ags,16728,0.00%,-0.01732827,7440,74,0.0
1931,ags,16729,-1.82%,0.004571787,7440,74,0.0
1932,ags,16730,0.00%,-0.004491244,7440,74,0.0
1933,ags,16733,0.00%,0.011762259,7440,74,0.0
1934,ags,16734,0.00%,-0.002951659,7440,74,0.0
1935,ags,16735,0.00%,0.00400675,7440,74,0.0
1936,ags,16736,0.00%,-0.013241125,7440,74,0.0
1937,ags,16737,0.00%,0.001441202,7440,74,0.0
1938,ags,16740,0.00%,0.023867881,7440,74,0.0
1939,ags,16741,0.00%,0.000551193,7440,74,0.0
1940,ags,16742,0.93%,0.003811361,7440,74,0.0
1941,ags,16743,0.00%,0.014837744,7440,74,0.0
1942,ags,16744,0.00%,-0.001233579,7440,74,0.0
1943,ags,16747,0.00%,0.003898216,7440,74,0.0
1944,ags,16748,0.00%,0.00047875,7440,74,0.0
1945,ags,16749,0.00%,-0.000960229,7440,74,0.0
1946,ags,16750,0.00%,0.000664336,7440,74,0.0
1947,ags,16751,0.00%,0.010548682,7440,74,0.0
1948,ags,16754,0.00%,0.000210066,7440,74,0.0
1949,ags,16755,0.00%,-0.002977548,7440,74,0.0
1950,ags,16756,1.83%,-0.00762817,7440,74,0.0
1951,ags,16757,-1.80%,0.00434718,7440,74,0.0
1952,ags,16758,0.00%,0.006187298,7440,74,0.0
1953,ags,16761,0.00%,0.002831195,7440,74,0.0
1954,ags,16762,0.00%,0.000798148,7440,74,0.0
1955,ags,16763,-0.92%,0.004070302,7440,74,0.0
1956,ags,16768,0.00%,-0.006314037,7440,74,0.0
1957,ags,16770,0.00%,-0.002677462,7440,74,0.0
1958,ags,16771,0.00%,0.016151616,7440,74,0.0
1959,ags,16772,0.00%,0.007778115,7440,74,0.0
1960,ags,16775,0.00%,-0.003867152,7440,74,0.0
1961,ags,16776,0.00%,0.005263628,7440,74,0.0
1962,ags,16777,0.00%,-0.001029008,7440,74,0.0
1963,ags,16778,0.00%,0.000453111,7440,74,0.0
1964,ags,16779,0.00%,-0.000208605,7440,74,0.0
1965,ags,16782,0.00%,-0.000188957,7440,74,0.0
1966,ags,16784,0.00%,-0.001613403,7440,74,0.0
1967,ags,16785,0.00%,-0.002073115,7440,74,0.0
1968,ags,16786,0.00%,0.007030468,7440,74,0.0
1969,ags,16789,0.00%,-0.001195537,7440,74,0.0
1970,ags,16790,0.00%,0.003688377,7440,74,0.0
1971,ags,16791,0.00%,0.005152506,7440,74,0.0
1972,ags,16792,0.00%,-0.002005337,7440,74,0.0
1973,ags,16800,0.00%,0.001544142,7440,74,0.0
1974,ags,16804,0.00%,0.009705427,7440,74,0.0
1975,ags,16805,0.00%,0.009902844,7440,74,0.0
1976,ags,16807,0.00%,0.003033494,7440,74,0.0
1977,ags,16810,0.00%,0.001926807,7440,74,0.0
1978,ags,16811,0.00%,-0.006339098,7440,74,0.0
1979,ags,16812,0.00%,0.00585686,7440,74,0.0
1980,ags,16813,0.00%,0.003555372,7440,74,0.0
1981,ags,16814,0.00%,-0.005679742,7440,74,0.0
