,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event
120658,gfs,16553,-2.41%,-0.013582746,7460,74,0.0
120659,gfs,16554,-1.33%,-0.001417963,7460,74,0.0
120660,gfs,16559,0.95%,0.009095093,7460,74,0.0
120661,gfs,16560,0.94%,0.005167558,7460,74,0.0
120662,gfs,16561,-1.31%,0.005707819,7460,74,0.0
120663,gfs,16562,-0.38%,0.004337201,7460,74,0.0
120664,gfs,16565,0.76%,-0.003390596,7460,74,0.0
120665,gfs,16566,-0.38%,-0.007306199,7460,74,0.0
120666,gfs,16567,-0.95%,-0.002138066,7460,74,0.0
120667,gfs,16568,0.96%,0.00612259,7460,74,0.0
120668,gfs,16569,-0.57%,4.99759e-05,7460,74,0.0
120669,gfs,16572,0.38%,-0.004197651,7460,74,0.0
120670,gfs,16573,1.14%,0.001030659,7460,74,0.0
120671,gfs,16574,0.00%,0.011437487,7460,74,0.0
120672,gfs,16575,0.00%,0.004704767,7460,74,0.0
120673,gfs,16576,0.94%,0.000876537,7460,74,0.0
120674,gfs,16579,1.49%,0.004109947,7460,74,0.0
120675,gfs,16580,-0.18%,-0.000789218,7460,74,0.0
120676,gfs,16581,1.65%,-0.000570614,7460,74,0.0
120677,gfs,16582,0.90%,0.007013857,7460,74,0.0
120678,gfs,16583,-0.54%,-0.000882414,7460,74,0.0
120679,gfs,16587,-1.08%,0.00448707,7460,74,0.0
120680,gfs,16588,3.27%,0.013386121,7460,74,0.0
120681,gfs,16589,1.41%,-0.000151309,7460,74,0.0
120682,gfs,16596,-0.17%,0.004257242,7460,74,0.0
120683,gfs,16597,1.37%,0.006048266,7460,74,0.0
120684,gfs,16600,1.53%,0.00398708,7460,74,0.0
120685,gfs,16601,-1.67%,0.00138692,7460,74,0.0
120686,gfs,16602,0.00%,-0.004020325,7460,74,0.0
120687,gfs,16603,0.17%,0.00552928,7460,74,0.0
120688,gfs,16604,0.85%,0.001313935,7460,74,0.0
120689,gfs,16607,-0.50%,-0.000337068,7460,74,0.0
120690,gfs,16608,0.68%,0.004808192,7460,74,0.0
120691,gfs,16609,-1.34%,0.00116199,7460,74,0.0
120692,gfs,16610,-0.68%,0.004202994,7460,74,0.0
120693,gfs,16611,-1.71%,-0.008151721,7460,74,0.0
120694,gfs,16614,0.00%,-0.009713451,7460,74,0.0
120695,gfs,16615,1.74%,0.008522274,7460,74,0.0
120696,gfs,16616,1.54%,0.002964198,7460,74,0.0
120697,gfs,16617,-0.84%,-0.003136038,7460,74,0.0
120698,gfs,16618,1.87%,0.007810287,7460,74,0.0
120699,gfs,16622,1.17%,0.000251759,7460,74,0.0
120700,gfs,16623,2.15%,0.005896191,7460,74,0.0
120701,gfs,16624,1.13%,-0.018221237,7460,74,0.0
120702,gfs,16625,3.51%,0.013775767,7460,74,0.0
120703,gfs,16628,-2.16%,0.005260896,7460,74,0.0
120704,gfs,16629,-0.63%,-0.003822247,7460,74,0.0
120705,gfs,16630,0.48%,0.005712415,7460,74,0.0
120706,gfs,16631,-1.74%,0.004567566,7460,74,0.0
120707,gfs,16632,1.61%,-0.001803078,7460,74,0.0
120708,gfs,16635,-0.32%,-0.00235759,7460,74,0.0
120709,gfs,16637,-0.80%,0.001742948,7460,74,0.0
120710,gfs,16638,0.81%,0.00144099,7460,74,0.0
120711,gfs,16639,-0.16%,0.000699887,7460,74,0.0
120712,gfs,16642,0.00%,0.004161065,7460,74,0.0
120713,gfs,16643,0.81%,0.000593994,7460,74,0.0
120714,gfs,16644,1.12%,0.002805696,7460,74,0.0
120715,gfs,16645,-0.95%,0.004968441,7460,74,0.0
120716,gfs,16646,0.64%,-0.000589054,7460,74,0.0
120717,gfs,16649,-0.48%,0.000929765,7460,74,0.0
120718,gfs,16650,1.27%,0.00751486,7460,74,0.0
120719,gfs,16651,0.00%,-0.001221051,7460,74,0.0
120720,gfs,16652,0.31%,-0.007534257,7460,74,0.0
120721,gfs,16653,-0.31%,-0.003800867,7460,74,0.0
120722,gfs,16656,0.00%,0.006249821,7460,74,0.0
120723,gfs,16657,0.63%,0.00610608,7460,74,0.0
120724,gfs,16658,-0.63%,0.008320427,7460,74,0.0
120725,gfs,16659,-0.31%,-0.003109527,7460,74,0.0
120726,gfs,16660,-2.37%,-0.002267577,7460,74,0.0
120727,gfs,16663,0.16%,-0.00040249,7460,74,0.0
120728,gfs,16664,-1.45%,-0.00238477,7460,74,0.0
120729,gfs,16665,0.82%,-0.002567908,7460,74,0.0
120730,gfs,16666,-1.14%,-0.003153555,7460,74,0.0
120731,gfs,16667,0.49%,0.009546662,7460,74,0.0
120732,gfs,16670,2.12%,0.000672486,7460,74,0.0
120733,gfs,16672,-0.49%,-0.010565436,7460,74,0.0
120734,gfs,16673,-0.49%,-0.006806104,7460,74,0.0
120735,gfs,16679,0.65%,0.004000885,7460,74,0.0
120736,gfs,16680,0.49%,0.007095878,7460,74,0.0
120737,gfs,16681,-2.74%,-0.000449724,7460,74,0.0
120738,gfs,16685,0.49%,0.014010715,7460,74,0.0
120739,gfs,16686,0.16%,0.003797298,7460,74,0.0
120740,gfs,16687,-0.49%,-0.000962805,7460,74,0.0
120741,gfs,16688,0.33%,0.003097197,7460,74,0.0
120742,gfs,16691,1.15%,0.002287577,7460,74,0.0
120743,gfs,16692,-2.27%,-0.006935666,7460,74,0.0
120744,gfs,16693,2.48%,0.003318491,7460,74,0.0
120745,gfs,16694,-0.48%,0.000246603,7460,74,0.0
120746,gfs,16695,0.00%,0.006011041,7460,74,0.0
120747,gfs,16698,0.49%,0.002443217,7460,74,0.0
120748,gfs,16699,0.00%,0.001109965,7460,74,0.0
120749,gfs,16700,-2.42%,-0.010290694,7460,74,0.0
120750,gfs,16701,0.99%,-0.003597179,7460,74,0.0
