,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event
229780,ved,16553,-4.05%,-0.013582746,2754,27,0.0
229781,ved,16554,-3.35%,-0.001417963,2754,27,0.0
229782,ved,16559,2.04%,0.009095093,2754,27,0.0
229783,ved,16560,-1.94%,0.005167558,2754,27,0.0
229784,ved,16561,3.25%,0.005707819,2754,27,0.0
229785,ved,16562,0.00%,0.004337201,2754,27,0.0
229786,ved,16565,0.49%,-0.003390596,2754,27,0.0
229787,ved,16566,-4.55%,-0.007306199,2754,27,0.0
229788,ved,16567,0.39%,-0.002138066,2754,27,0.0
229789,ved,16568,1.03%,0.00612259,2754,27,0.0
229790,ved,16569,-5.08%,4.99759e-05,2754,27,0.0
229791,ved,16572,0.27%,-0.004197651,2754,27,0.0
229792,ved,16573,0.60%,0.001030659,2754,27,0.0
229793,ved,16574,5.17%,0.011437487,2754,27,0.0
229794,ved,16575,-0.95%,0.004704767,2754,27,0.0
229795,ved,16576,1.34%,0.000876537,2754,27,0.0
229796,ved,16579,1.44%,0.004109947,2754,27,0.0
229797,ved,16580,1.18%,-0.000789218,2754,27,0.0
229798,ved,16581,-0.67%,-0.000570614,2754,27,0.0
229799,ved,16582,1.97%,0.007013857,2754,27,0.0
229800,ved,16583,-0.48%,-0.000882414,2754,27,0.0
229801,ved,16587,3.34%,0.00448707,2754,27,0.0
229802,ved,16588,1.94%,0.013386121,2754,27,0.0
229803,ved,16589,3.69%,-0.000151309,2754,27,0.0
229804,ved,16596,-0.21%,0.004257242,2754,27,0.0
229805,ved,16597,2.48%,0.006048266,2754,27,0.0
229806,ved,16600,-0.26%,0.00398708,2754,27,0.0
229807,ved,16601,-0.83%,0.00138692,2754,27,0.0
229808,ved,16602,0.31%,-0.004020325,2754,27,0.0
229809,ved,16603,3.73%,0.00552928,2754,27,0.0
229810,ved,16604,-0.20%,0.001313935,2754,27,0.0
229811,ved,16607,-0.80%,-0.000337068,2754,27,0.0
229812,ved,16608,-0.76%,0.004808192,2754,27,0.0
229813,ved,16609,1.02%,0.00116199,2754,27,0.0
229814,ved,16610,0.15%,0.004202994,2754,27,0.0
229815,ved,16611,-1.31%,-0.008151721,2754,27,0.0
229816,ved,16614,0.51%,-0.009713451,2754,27,0.0
229817,ved,16615,0.10%,0.008522274,2754,27,0.0
229818,ved,16616,2.43%,0.002964198,2754,27,0.0
229819,ved,16617,-0.10%,-0.003136038,2754,27,0.0
229820,ved,16618,-0.40%,0.007810287,2754,27,0.0
229821,ved,16622,0.50%,0.000251759,2754,27,0.0
229822,ved,16623,2.44%,0.005896191,2754,27,0.0
229823,ved,16624,1.80%,-0.018221237,2754,27,0.0
229824,ved,16625,0.19%,0.013775767,2754,27,0.0
229825,ved,16628,-0.19%,0.005260896,2754,27,0.0
229826,ved,16629,-0.29%,-0.003822247,2754,27,0.0
229827,ved,16630,-0.62%,0.005712415,2754,27,0.0
229828,ved,16631,1.11%,0.004567566,2754,27,0.0
229829,ved,16632,0.00%,-0.001803078,2754,27,0.0
229830,ved,16635,-0.48%,-0.00235759,2754,27,0.0
229831,ved,16637,0.89%,0.001742948,2754,27,0.0
229832,ved,16638,0.24%,0.00144099,2754,27,0.0
229833,ved,16639,2.06%,0.000699887,2754,27,0.0
229834,ved,16642,1.08%,0.004161065,2754,27,0.0
229835,ved,16643,1.16%,0.000593994,2754,27,0.0
229836,ved,16644,0.55%,0.002805696,2754,27,0.0
229837,ved,16645,1.46%,0.004968441,2754,27,0.0
229838,ved,16646,1.80%,-0.000589054,2754,27,0.0
229839,ved,16649,-1.72%,0.000929765,2754,27,0.0
229840,ved,16650,2.56%,0.00751486,2754,27,0.0
229841,ved,16651,6.27%,-0.001221051,2754,27,0.0
229842,ved,16652,1.44%,-0.007534257,2754,27,0.0
229843,ved,16653,-2.28%,-0.003800867,2754,27,0.0
229844,ved,16656,-0.17%,0.006249821,2754,27,0.0
229845,ved,16657,3.00%,0.00610608,2754,27,0.0
229846,ved,16658,-1.94%,0.008320427,2754,27,0.0
229847,ved,16659,0.33%,-0.003109527,2754,27,0.0
229848,ved,16660,-1.64%,-0.002267577,2754,27,0.0
229849,ved,16663,2.17%,-0.00040249,2754,27,0.0
229850,ved,16664,-2.62%,-0.00238477,2754,27,0.0
229851,ved,16665,-1.68%,-0.002567908,2754,27,0.0
229852,ved,16666,0.21%,-0.003153555,2754,27,0.0
229853,ved,16667,0.13%,0.009546662,2754,27,0.0
229854,ved,16670,2.51%,0.000672486,2754,27,0.0
229855,ved,16672,-2.70%,-0.010565436,2754,27,0.0
229856,ved,16673,-2.29%,-0.006806104,2754,27,0.0
229857,ved,16679,2.17%,0.004000885,2754,27,0.0
229858,ved,16680,2.48%,0.007095878,2754,27,0.0
229859,ved,16681,0.87%,-0.000449724,2754,27,0.0
229860,ved,16685,1.04%,0.014010715,2754,27,0.0
229861,ved,16686,1.58%,0.003797298,2754,27,0.0
229862,ved,16687,-2.74%,-0.000962805,2754,27,0.0
229863,ved,16688,1.91%,0.003097197,2754,27,0.0
229864,ved,16691,1.19%,0.002287577,2754,27,0.0
229865,ved,16692,-2.61%,-0.006935666,2754,27,0.0
229866,ved,16693,0.86%,0.003318491,2754,27,0.0
229867,ved,16694,1.92%,0.000246603,2754,27,0.0
229868,ved,16695,4.07%,0.006011041,2754,27,0.0
229869,ved,16698,0.24%,0.002443217,2754,27,0.0
229870,ved,16699,0.16%,0.001109965,2754,27,0.0
229871,ved,16700,-2.49%,-0.010290694,2754,27,0.0
229872,ved,16701,-0.49%,-0.003597179,2754,27,0.0
229873,ved,16702,1.82%,0.004717265,2754,27,0.0
229874,ved,16706,-0.97%,0.00889761,2754,27,0.0
229875,ved,16707,0.57%,0.008527436,2754,27,0.0
229876,ved,16708,-2.35%,-0.003386793,2754,27,0.0
229877,ved,16709,-0.33%,0.003648049,2754,27,0.0
229878,ved,16712,-1.92%,0.007895011,2754,27,0.0
229879,ved,16713,-0.68%,0.002862391,2754,27,0.0
229880,ved,16714,-4.28%,-0.010289105,2754,27,0.0
229881,ved,16716,-0.26%,-0.01831506,2754,27,0.0
229882,ved,16719,1.48%,0.002749305,2754,27,0.0
229883,ved,16720,1.46%,0.002301409,2754,27,0.0
229884,ved,16726,1.50%,-0.016069232,2754,27,0.0
229885,ved,16727,-1.74%,-0.001970045,2754,27,0.0
229886,ved,16728,-3.89%,-0.01732827,2754,27,0.0
229887,ved,16729,1.29%,0.004571787,2754,27,0.0
229888,ved,16730,-2.36%,-0.004491244,2754,27,0.0
229889,ved,16733,3.91%,0.011762259,2754,27,0.0
229890,ved,16734,-0.90%,-0.002951659,2754,27,0.0
229891,ved,16735,1.99%,0.00400675,2754,27,0.0
229892,ved,16736,-0.80%,-0.013241125,2754,27,0.0
229893,ved,16737,-1.70%,0.001441202,2754,27,0.0
229894,ved,16740,3.18%,0.023867881,2754,27,0.0
229895,ved,16741,3.08%,0.000551193,2754,27,0.0
229896,ved,16742,-0.09%,0.003811361,2754,27,0.0
229897,ved,16743,3.68%,0.014837744,2754,27,0.0
229898,ved,16744,0.00%,-0.001233579,2754,27,0.0
229899,ved,16747,0.58%,0.003898216,2754,27,0.0
229900,ved,16748,3.94%,0.00047875,2754,27,0.0
229901,ved,16749,1.10%,-0.000960229,2754,27,0.0
229902,ved,16750,-0.16%,0.000664336,2754,27,0.0
229903,ved,16751,0.08%,0.010548682,2754,27,0.0
229904,ved,16754,-1.88%,0.000210066,2754,27,0.0
229905,ved,16755,1.59%,-0.002977548,2754,27,0.0
229906,ved,16756,-0.16%,-0.00762817,2754,27,0.0
229907,ved,16757,2.04%,0.00434718,2754,27,0.0
229908,ved,16758,5.46%,0.006187298,2754,27,0.0
229909,ved,16761,1.97%,0.002831195,2754,27,0.0
229910,ved,16762,-2.58%,0.000798148,2754,27,0.0
229911,ved,16763,0.37%,0.004070302,2754,27,0.0
229912,ved,16768,2.56%,-0.006314037,2754,27,0.0
229913,ved,16770,-0.84%,-0.002677462,2754,27,0.0
229914,ved,16771,2.62%,0.016151616,2754,27,0.0
229915,ved,16772,3.93%,0.007778115,2754,27,0.0
229916,ved,16775,-2.39%,-0.003867152,2754,27,0.0
229917,ved,16776,3.40%,0.005263628,2754,27,0.0
229918,ved,16777,2.37%,-0.001029008,2754,27,0.0
229919,ved,16778,0.19%,0.000453111,2754,27,0.0
229920,ved,16779,-1.48%,-0.000208605,2754,27,0.0
229921,ved,16782,1.43%,-0.000188957,2754,27,0.0
229922,ved,16784,1.98%,-0.001613403,2754,27,0.0
229923,ved,16785,6.98%,-0.002073115,2754,27,0.0
229924,ved,16786,4.19%,0.007030468,2754,27,0.0
229925,ved,16789,-2.87%,-0.001195537,2754,27,0.0
229926,ved,16790,0.24%,0.003688377,2754,27,0.0
229927,ved,16791,2.54%,0.005152506,2754,27,0.0
229928,ved,16792,-1.84%,-0.002005337,2754,27,0.0
229929,ved,16800,0.06%,0.001544142,2754,27,0.0
229930,ved,16804,4.55%,0.009705427,2754,27,0.0
229931,ved,16805,2.92%,0.009902844,2754,27,0.0
229932,ved,16807,0.67%,0.003033494,2754,27,0.0
229933,ved,16810,0.72%,0.001926807,2754,27,0.0
229934,ved,16811,-4.32%,-0.006339098,2754,27,0.0
229935,ved,16812,0.06%,0.00585686,2754,27,0.0
229936,ved,16813,2.57%,0.003555372,2754,27,0.0
229937,ved,16814,1.78%,-0.005679742,2754,27,0.0
229938,ved,16820,3.86%,-0.007927621,2754,27,0.0
229939,ved,16821,-0.95%,-0.006031404,2754,27,0.0
229940,ved,16824,-6.64%,-0.002429135,2754,27,0.0
229941,ved,16825,-0.41%,-0.00223297,2754,27,0.0
229942,ved,16826,1.50%,0.011196016,2754,27,0.0
229943,ved,16831,-1.89%,0.020923153,2754,27,0.0
229944,ved,16832,-1.92%,-7.16685e-05,2754,27,0.0
229945,ved,16833,2.06%,0.010718253,2754,27,0.0
229946,ved,16834,-2.17%,-0.008992765,2754,27,0.0
229947,ved,16835,-0.10%,0.000631297,2754,27,0.0
229948,ved,16838,3.26%,0.001118773,2754,27,0.0
229949,ved,16839,1.70%,-0.003188104,2754,27,0.0
229950,ved,16840,-3.65%,-0.001675563,2754,27,0.0
229951,ved,16841,3.27%,0.011648284,2754,27,0.0
229952,ved,16842,-2.48%,-0.003731121,2754,27,0.0
229953,ved,16845,-0.61%,0.004986249,2754,27,0.0
