,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event
6384,au,16553,,-0.013582746,7221,72,0.0
6385,au,16554,,-0.001417963,7221,72,0.0
6386,au,16559,,0.009095093,7221,72,0.0
6387,au,16560,,0.005167558,7221,72,0.0
6388,au,16561,,0.005707819,7221,72,0.0
6389,au,16562,,0.004337201,7221,72,0.0
6390,au,16565,,-0.003390596,7221,72,0.0
6391,au,16566,,-0.007306199,7221,72,0.0
6392,au,16567,,-0.002138066,7221,72,0.0
6393,au,16568,,0.00612259,7221,72,0.0
6394,au,16569,,4.99759e-05,7221,72,0.0
6395,au,16572,,-0.004197651,7221,72,0.0
6396,au,16573,,0.001030659,7221,72,0.0
6397,au,16574,,0.011437487,7221,72,0.0
6398,au,16575,,0.004704767,7221,72,0.0
6399,au,16576,,0.000876537,7221,72,0.0
6400,au,16579,,0.004109947,7221,72,0.0
6401,au,16580,,-0.000789218,7221,72,0.0
6402,au,16581,,-0.000570614,7221,72,0.0
6403,au,16582,,0.007013857,7221,72,0.0
6404,au,16583,,-0.000882414,7221,72,0.0
6405,au,16587,,0.00448707,7221,72,0.0
6406,au,16588,,0.013386121,7221,72,0.0
6407,au,16589,,-0.000151309,7221,72,0.0
6408,au,16596,,0.004257242,7221,72,0.0
6409,au,16597,,0.006048266,7221,72,0.0
6410,au,16600,,0.00398708,7221,72,0.0
6411,au,16601,,0.00138692,7221,72,0.0
6412,au,16602,,-0.004020325,7221,72,0.0
6413,au,16603,,0.00552928,7221,72,0.0
6414,au,16604,,0.001313935,7221,72,0.0
6415,au,16607,,-0.000337068,7221,72,0.0
6416,au,16608,,0.004808192,7221,72,0.0
6417,au,16609,,0.00116199,7221,72,0.0
6418,au,16610,,0.004202994,7221,72,0.0
6419,au,16611,,-0.008151721,7221,72,0.0
6420,au,16614,,-0.009713451,7221,72,0.0
6421,au,16615,,0.008522274,7221,72,0.0
6422,au,16616,,0.002964198,7221,72,0.0
6423,au,16617,,-0.003136038,7221,72,0.0
6424,au,16618,,0.007810287,7221,72,0.0
6425,au,16622,,0.000251759,7221,72,0.0
6426,au,16623,,0.005896191,7221,72,0.0
6427,au,16624,,-0.018221237,7221,72,0.0
6428,au,16625,,0.013775767,7221,72,0.0
6429,au,16628,,0.005260896,7221,72,0.0
6430,au,16629,,-0.003822247,7221,72,0.0
6431,au,16630,,0.005712415,7221,72,0.0
6432,au,16631,,0.004567566,7221,72,0.0
6433,au,16632,,-0.001803078,7221,72,0.0
6434,au,16635,,-0.00235759,7221,72,0.0
6435,au,16637,,0.001742948,7221,72,0.0
6436,au,16638,,0.00144099,7221,72,0.0
6437,au,16639,,0.000699887,7221,72,0.0
6438,au,16642,,0.004161065,7221,72,0.0
6439,au,16643,,0.000593994,7221,72,0.0
6440,au,16644,,0.002805696,7221,72,0.0
6441,au,16645,,0.004968441,7221,72,0.0
6442,au,16646,,-0.000589054,7221,72,0.0
6443,au,16649,,0.000929765,7221,72,0.0
6444,au,16650,,0.00751486,7221,72,0.0
6445,au,16651,,-0.001221051,7221,72,0.0
6446,au,16652,,-0.007534257,7221,72,0.0
6447,au,16653,,-0.003800867,7221,72,0.0
6448,au,16656,,0.006249821,7221,72,0.0
6449,au,16657,,0.00610608,7221,72,0.0
6450,au,16658,,0.008320427,7221,72,0.0
6451,au,16659,,-0.003109527,7221,72,0.0
6452,au,16660,,-0.002267577,7221,72,0.0
6453,au,16663,,-0.00040249,7221,72,0.0
6454,au,16664,,-0.00238477,7221,72,0.0
6455,au,16665,,-0.002567908,7221,72,0.0
6456,au,16666,,-0.003153555,7221,72,0.0
6457,au,16667,,0.009546662,7221,72,0.0
6458,au,16670,,0.000672486,7221,72,0.0
6459,au,16672,,-0.010565436,7221,72,0.0
6460,au,16673,,-0.006806104,7221,72,0.0
6461,au,16679,,0.004000885,7221,72,0.0
6462,au,16680,,0.007095878,7221,72,0.0
6463,au,16681,,-0.000449724,7221,72,0.0
6464,au,16685,,0.014010715,7221,72,0.0
6465,au,16686,,0.003797298,7221,72,0.0
6466,au,16687,,-0.000962805,7221,72,0.0
6467,au,16688,,0.003097197,7221,72,0.0
6468,au,16691,,0.002287577,7221,72,0.0
6469,au,16692,,-0.006935666,7221,72,0.0
6470,au,16693,,0.003318491,7221,72,0.0
6471,au,16694,,0.000246603,7221,72,0.0
6472,au,16695,,0.006011041,7221,72,0.0
6473,au,16698,,0.002443217,7221,72,0.0
6474,au,16699,,0.001109965,7221,72,0.0
6475,au,16700,,-0.010290694,7221,72,0.0
6476,au,16701,,-0.003597179,7221,72,0.0
6477,au,16702,,0.004717265,7221,72,0.0
6478,au,16706,,0.00889761,7221,72,0.0
6479,au,16707,,0.008527436,7221,72,0.0
6480,au,16708,,-0.003386793,7221,72,0.0
6481,au,16709,,0.003648049,7221,72,0.0
6482,au,16712,,0.007895011,7221,72,0.0
6483,au,16713,,0.002862391,7221,72,0.0
6484,au,16714,,-0.010289105,7221,72,0.0
6485,au,16716,,-0.01831506,7221,72,0.0
6486,au,16719,,0.002749305,7221,72,0.0
6487,au,16720,,0.002301409,7221,72,0.0
6488,au,16726,,-0.016069232,7221,72,0.0
6489,au,16727,,-0.001970045,7221,72,0.0
6490,au,16728,,-0.01732827,7221,72,0.0
6491,au,16729,,0.004571787,7221,72,0.0
6492,au,16730,,-0.004491244,7221,72,0.0
6493,au,16733,,0.011762259,7221,72,0.0
6494,au,16734,,-0.002951659,7221,72,0.0
6495,au,16735,,0.00400675,7221,72,0.0
