,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event
15960,bats,16553,0.62%,-0.013582746,1600,16,0.0
15961,bats,16554,0.62%,-0.001417963,1600,16,0.0
15962,bats,16559,-0.41%,0.009095093,1600,16,0.0
15963,bats,16560,2.21%,0.005167558,1600,16,0.0
15964,bats,16561,1.56%,0.005707819,1600,16,0.0
15965,bats,16562,0.25%,0.004337201,1600,16,0.0
15966,bats,16565,-0.44%,-0.003390596,1600,16,0.0
15967,bats,16566,1.68%,-0.007306199,1600,16,0.0
15968,bats,16567,-0.05%,-0.002138066,1600,16,0.0
15969,bats,16568,0.83%,0.00612259,1600,16,0.0
15970,bats,16569,0.39%,4.99759e-05,1600,16,0.0
15971,bats,16572,0.19%,-0.004197651,1600,16,0.0
15972,bats,16573,-0.96%,0.001030659,1600,16,0.0
15973,bats,16574,1.94%,0.011437487,1600,16,0.0
15974,bats,16575,-0.05%,0.004704767,1600,16,0.0
15975,bats,16576,0.71%,0.000876537,1600,16,0.0
15976,bats,16579,-0.71%,0.004109947,1600,16,0.0
15977,bats,16580,0.33%,-0.000789218,1600,16,0.0
15978,bats,16581,-1.23%,-0.000570614,1600,16,0.0
15979,bats,16582,0.96%,0.007013857,1600,16,0.0
15980,bats,16583,-0.57%,-0.000882414,1600,16,0.0
15981,bats,16587,0.00%,0.00448707,1600,16,0.0
15982,bats,16588,1.92%,0.013386121,1600,16,0.0
15983,bats,16589,0.75%,-0.000151309,1600,16,0.0
15984,bats,16596,2.04%,0.004257242,1600,16,0.0
15985,bats,16597,-0.64%,0.006048266,1600,16,0.0
15986,bats,16600,0.37%,0.00398708,1600,16,0.0
15987,bats,16601,-0.50%,0.00138692,1600,16,0.0
15988,bats,16602,0.64%,-0.004020325,1600,16,0.0
15989,bats,16603,-2.23%,0.00552928,1600,16,0.0
15990,bats,16604,-0.14%,0.001313935,1600,16,0.0
15991,bats,16607,-1.21%,-0.000337068,1600,16,0.0
15992,bats,16608,0.57%,0.004808192,1600,16,0.0
15993,bats,16609,0.28%,0.00116199,1600,16,0.0
15994,bats,16610,0.00%,0.004202994,1600,16,0.0
15995,bats,16611,-1.03%,-0.008151721,1600,16,0.0
15996,bats,16614,-0.09%,-0.009713451,1600,16,0.0
15997,bats,16615,0.85%,0.008522274,1600,16,0.0
15998,bats,16616,-0.28%,0.002964198,1600,16,0.0
15999,bats,16617,1.22%,-0.003136038,1600,16,0.0
16000,bats,16618,1.67%,0.007810287,1600,16,0.0
16001,bats,16622,-1.19%,0.000251759,1600,16,0.0
16002,bats,16623,1.20%,0.005896191,1600,16,0.0
16003,bats,16624,-1.37%,-0.018221237,1600,16,0.0
16004,bats,16625,1.30%,0.013775767,1600,16,0.0
16005,bats,16628,-0.64%,0.005260896,1600,16,0.0
16006,bats,16629,-0.28%,-0.003822247,1600,16,0.0
16007,bats,16630,-1.29%,0.005712415,1600,16,0.0
16008,bats,16631,-0.28%,0.004567566,1600,16,0.0
16009,bats,16632,-0.19%,-0.001803078,1600,16,0.0
16010,bats,16635,-0.19%,-0.00235759,1600,16,0.0
16011,bats,16637,0.48%,0.001742948,1600,16,0.0
16012,bats,16638,0.29%,0.00144099,1600,16,0.0
16013,bats,16639,-0.57%,0.000699887,1600,16,0.0
16014,bats,16642,2.67%,0.004161065,1600,16,0.0
16015,bats,16643,-0.65%,0.000593994,1600,16,0.0
16016,bats,16644,0.37%,0.002805696,1600,16,0.0
16017,bats,16645,2.14%,0.004968441,1600,16,0.0
16018,bats,16646,3.74%,-0.000589054,1600,16,0.0
16019,bats,16649,-0.62%,0.000929765,1600,16,0.0
16020,bats,16650,0.97%,0.00751486,1600,16,0.0
16021,bats,16651,1.14%,-0.001221051,1600,16,0.0
16022,bats,16652,0.61%,-0.007534257,1600,16,0.0
16023,bats,16653,-1.31%,-0.003800867,1600,16,0.0
16024,bats,16656,-0.53%,0.006249821,1600,16,0.0
16025,bats,16657,0.00%,0.00610608,1600,16,0.0
16026,bats,16658,0.80%,0.008320427,1600,16,0.0
16027,bats,16659,-1.67%,-0.003109527,1600,16,0.0
16028,bats,16660,-1.16%,-0.002267577,1600,16,0.0
16029,bats,16663,-0.27%,-0.00040249,1600,16,0.0
16030,bats,16664,0.18%,-0.00238477,1600,16,0.0
16031,bats,16665,-1.00%,-0.002567908,1600,16,0.0
16032,bats,16666,0.82%,-0.003153555,1600,16,0.0
16033,bats,16667,0.18%,0.009546662,1600,16,0.0
16034,bats,16670,0.09%,0.000672486,1600,16,0.0
16035,bats,16672,-0.71%,-0.010565436,1600,16,0.0
16036,bats,16673,0.45%,-0.006806104,1600,16,0.0
16037,bats,16679,0.63%,0.004000885,1600,16,0.0
16038,bats,16680,1.61%,0.007095878,1600,16,0.0
16039,bats,16681,0.35%,-0.000449724,1600,16,0.0
16040,bats,16685,0.44%,0.014010715,1600,16,0.0
16041,bats,16686,-0.44%,0.003797298,1600,16,0.0
16042,bats,16687,-0.35%,-0.000962805,1600,16,0.0
16043,bats,16688,0.44%,0.003097197,1600,16,0.0
16044,bats,16691,1.49%,0.002287577,1600,16,0.0
16045,bats,16692,0.09%,-0.006935666,1600,16,0.0
16046,bats,16693,-0.17%,0.003318491,1600,16,0.0
16047,bats,16694,1.47%,0.000246603,1600,16,0.0
16048,bats,16695,1.28%,0.006011041,1600,16,0.0
16049,bats,16698,0.51%,0.002443217,1600,16,0.0
16050,bats,16699,-0.08%,0.001109965,1600,16,0.0
16051,bats,16700,-0.42%,-0.010290694,1600,16,0.0
16052,bats,16701,-0.76%,-0.003597179,1600,16,0.0
16053,bats,16702,0.76%,0.004717265,1600,16,0.0
16054,bats,16706,2.53%,0.00889761,1600,16,0.0
16055,bats,16707,-2.32%,0.008527436,1600,16,0.0
16056,bats,16708,1.10%,-0.003386793,1600,16,0.0
16057,bats,16709,-1.01%,0.003648049,1600,16,0.0
16058,bats,16712,1.10%,0.007895011,1600,16,0.0
16059,bats,16713,0.42%,0.002862391,1600,16,0.0
16060,bats,16714,0.33%,-0.010289105,1600,16,0.0
16061,bats,16716,-0.50%,-0.01831506,1600,16,0.0
16062,bats,16719,-0.51%,0.002749305,1600,16,0.0
16063,bats,16720,-0.34%,0.002301409,1600,16,0.0
16064,bats,16726,0.51%,-0.016069232,1600,16,0.0
16065,bats,16727,0.34%,-0.001970045,1600,16,0.0
16066,bats,16728,1.37%,-0.01732827,1600,16,0.0
16067,bats,16729,-1.35%,0.004571787,1600,16,0.0
16068,bats,16730,0.26%,-0.004491244,1600,16,0.0
16069,bats,16733,0.60%,0.011762259,1600,16,0.0
16070,bats,16734,1.36%,-0.002951659,1600,16,0.0
16071,bats,16735,-0.17%,0.00400675,1600,16,0.0
16072,bats,16736,0.50%,-0.013241125,1600,16,0.0
16073,bats,16737,0.50%,0.001441202,1600,16,0.0
16074,bats,16740,1.67%,0.023867881,1600,16,0.0
16075,bats,16741,1.80%,0.000551193,1600,16,0.0
16076,bats,16742,-0.97%,0.003811361,1600,16,0.0
16077,bats,16743,0.65%,0.014837744,1600,16,0.0
16078,bats,16744,1.53%,-0.001233579,1600,16,0.0
16079,bats,16747,0.72%,0.003898216,1600,16,0.0
16080,bats,16748,1.34%,0.00047875,1600,16,0.0
16081,bats,16749,-0.86%,-0.000960229,1600,16,0.0
16082,bats,16750,1.34%,0.000664336,1600,16,0.0
16083,bats,16751,1.55%,0.010548682,1600,16,0.0
16084,bats,16754,0.84%,0.000210066,1600,16,0.0
16085,bats,16755,0.53%,-0.002977548,1600,16,0.0
16086,bats,16756,0.08%,-0.00762817,1600,16,0.0
16087,bats,16757,-1.50%,0.00434718,1600,16,0.0
16088,bats,16758,-0.31%,0.006187298,1600,16,0.0
16089,bats,16761,0.92%,0.002831195,1600,16,0.0
16090,bats,16762,-0.68%,0.000798148,1600,16,0.0
