,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event
26448,cna,16553,-0.12%,-0.013582746,4022,40,0.0
26449,cna,16554,0.79%,-0.001417963,4022,40,0.0
26450,cna,16559,0.23%,0.009095093,4022,40,0.0
26451,cna,16560,-1.12%,0.005167558,4022,40,0.0
26452,cna,16561,0.45%,0.005707819,4022,40,0.0
26453,cna,16562,-1.58%,0.004337201,4022,40,0.0
26454,cna,16565,1.84%,-0.003390596,4022,40,0.0
26455,cna,16566,1.58%,-0.007306199,4022,40,0.0
26456,cna,16567,0.89%,-0.002138066,4022,40,0.0
26457,cna,16568,1.32%,0.00612259,4022,40,0.0
26458,cna,16569,0.98%,4.99759e-05,4022,40,0.0
26459,cna,16572,-2.05%,-0.004197651,4022,40,0.0
26460,cna,16573,0.55%,0.001030659,4022,40,0.0
26461,cna,16574,0.22%,0.011437487,4022,40,0.0
26462,cna,16575,0.65%,0.004704767,4022,40,0.0
26463,cna,16576,1.19%,0.000876537,4022,40,0.0
26464,cna,16579,-0.21%,0.004109947,4022,40,0.0
26465,cna,16580,-0.54%,-0.000789218,4022,40,0.0
26466,cna,16581,0.76%,-0.000570614,4022,40,0.0
26467,cna,16582,1.93%,0.007013857,4022,40,0.0
26468,cna,16583,-1.05%,-0.000882414,4022,40,0.0
26469,cna,16587,-1.49%,0.00448707,4022,40,0.0
26470,cna,16588,1.40%,0.013386121,4022,40,0.0
26471,cna,16589,-2.02%,-0.000151309,4022,40,0.0
26472,cna,16596,-1.32%,0.004257242,4022,40,0.0
26473,cna,16597,0.00%,0.006048266,4022,40,0.0
26474,cna,16600,0.78%,0.00398708,4022,40,0.0
26475,cna,16601,-0.89%,0.00138692,4022,40,0.0
26476,cna,16602,-1.90%,-0.004020325,4022,40,0.0
26477,cna,16603,2.05%,0.00552928,4022,40,0.0
26478,cna,16604,0.11%,0.001313935,4022,40,0.0
26479,cna,16607,-1.01%,-0.000337068,4022,40,0.0
26480,cna,16608,1.69%,0.004808192,4022,40,0.0
26481,cna,16609,0.55%,0.00116199,4022,40,0.0
26482,cna,16610,-1.10%,0.004202994,4022,40,0.0
26483,cna,16611,3.79%,-0.008151721,4022,40,0.0
26484,cna,16614,0.65%,-0.009713451,4022,40,0.0
26485,cna,16615,-1.28%,0.008522274,4022,40,0.0
26486,cna,16616,-0.32%,0.002964198,4022,40,0.0
26487,cna,16617,0.65%,-0.003136038,4022,40,0.0
26488,cna,16618,0.54%,0.007810287,4022,40,0.0
26489,cna,16622,-0.22%,0.000251759,4022,40,0.0
26490,cna,16623,-0.76%,0.005896191,4022,40,0.0
26491,cna,16624,-1.76%,-0.018221237,4022,40,0.0
26492,cna,16625,0.45%,0.013775767,4022,40,0.0
26493,cna,16628,0.78%,0.005260896,4022,40,0.0
26494,cna,16629,0.00%,-0.003822247,4022,40,0.0
26495,cna,16630,-0.99%,0.005712415,4022,40,0.0
26496,cna,16631,2.56%,0.004567566,4022,40,0.0
26497,cna,16632,-0.76%,-0.001803078,4022,40,0.0
26498,cna,16635,-0.99%,-0.00235759,4022,40,0.0
26499,cna,16637,0.56%,0.001742948,4022,40,0.0
26500,cna,16638,2.56%,0.00144099,4022,40,0.0
26501,cna,16639,0.11%,0.000699887,4022,40,0.0
26502,cna,16642,0.00%,0.004161065,4022,40,0.0
26503,cna,16643,0.54%,0.000593994,4022,40,0.0
26504,cna,16644,0.43%,0.002805696,4022,40,0.0
26505,cna,16645,0.00%,0.004968441,4022,40,0.0
26506,cna,16646,0.54%,-0.000589054,4022,40,0.0
26507,cna,16649,0.32%,0.000929765,4022,40,0.0
26508,cna,16650,0.21%,0.00751486,4022,40,0.0
26509,cna,16651,0.11%,-0.001221051,4022,40,0.0
26510,cna,16652,-0.64%,-0.007534257,4022,40,0.0
26511,cna,16653,1.39%,-0.003800867,4022,40,0.0
26512,cna,16656,-0.53%,0.006249821,4022,40,0.0
26513,cna,16657,0.11%,0.00610608,4022,40,0.0
26514,cna,16658,1.37%,0.008320427,4022,40,0.0
26515,cna,16659,-0.52%,-0.003109527,4022,40,0.0
26516,cna,16660,-0.52%,-0.002267577,4022,40,0.0
26517,cna,16663,0.53%,-0.00040249,4022,40,0.0
26518,cna,16664,-0.73%,-0.00238477,4022,40,0.0
26519,cna,16665,-0.11%,-0.002567908,4022,40,0.0
26520,cna,16666,0.32%,-0.003153555,4022,40,0.0
26521,cna,16667,1.58%,0.009546662,4022,40,0.0
26522,cna,16670,1.04%,0.000672486,4022,40,0.0
26523,cna,16672,3.80%,-0.010565436,4022,40,0.0
26524,cna,16673,-0.40%,-0.006806104,4022,40,0.0
26525,cna,16679,-0.10%,0.004000885,4022,40,0.0
26526,cna,16680,-0.50%,0.007095878,4022,40,0.0
26527,cna,16681,0.70%,-0.000449724,4022,40,0.0
26528,cna,16685,1.40%,0.014010715,4022,40,0.0
26529,cna,16686,3.65%,0.003797298,4022,40,0.0
26530,cna,16687,0.67%,-0.000962805,4022,40,0.0
26531,cna,16688,0.00%,0.003097197,4022,40,0.0
26532,cna,16691,-1.70%,0.002287577,4022,40,0.0
26533,cna,16692,1.06%,-0.006935666,4022,40,0.0
26534,cna,16693,-0.95%,0.003318491,4022,40,0.0
26535,cna,16694,-0.48%,0.000246603,4022,40,0.0
26536,cna,16695,-1.54%,0.006011041,4022,40,0.0
26537,cna,16698,-0.29%,0.002443217,4022,40,0.0
26538,cna,16699,-0.39%,0.001109965,4022,40,0.0
26539,cna,16700,-0.49%,-0.010290694,4022,40,0.0
26540,cna,16701,-1.68%,-0.003597179,4022,40,0.0
