,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event,Bigevent,Upevent,Bigeventcount
25156,ccl,16673,-1.01%,-0.006806104,6110,61,0.0,0.0,0.0,19
25157,ccl,16679,-0.97%,0.004000885,6110,61,0.0,0.0,0.0,19
25158,ccl,16680,-1.18%,0.007095878,6110,61,0.0,0.0,0.0,19
25159,ccl,16681,-1.87%,-0.000449724,6110,61,0.0,0.0,0.0,19
25160,ccl,16685,0.47%,0.014010715,6110,61,0.0,0.0,0.0,19
25161,ccl,16686,-0.68%,0.003797298,6110,61,0.0,0.0,0.0,19
25162,ccl,16687,1.80%,-0.000962805,6110,61,0.0,0.0,0.0,19
25163,ccl,16688,-0.25%,0.003097197,6110,61,0.0,0.0,0.0,19
25164,ccl,16691,0.32%,0.002287577,6110,61,0.0,0.0,0.0,19
25165,ccl,16692,2.90%,-0.006935666,6110,61,0.0,0.0,0.0,19
25166,ccl,16693,-0.24%,0.003318491,6110,61,0.0,0.0,0.0,19
25167,ccl,16694,0.69%,0.000246603,6110,61,0.0,0.0,0.0,19
25168,ccl,16695,-0.51%,0.006011041,6110,61,0.0,0.0,0.0,19
25169,ccl,16698,-0.14%,0.002443217,6110,61,0.0,0.0,0.0,19
25170,ccl,16699,2.58%,0.001109965,6110,61,0.0,0.0,0.0,19
25171,ccl,16700,-0.60%,-0.010290694,6110,61,0.0,0.0,0.0,19
25172,ccl,16701,-2.70%,-0.003597179,6110,61,0.0,0.0,0.0,19
25173,ccl,16702,-0.38%,0.004717265,6110,61,0.0,0.0,0.0,19
25174,ccl,16706,0.87%,0.00889761,6110,61,0.0,0.0,0.0,19
25175,ccl,16707,-0.84%,0.008527436,6110,61,0.0,0.0,0.0,19
25176,ccl,16708,0.24%,-0.003386793,6110,61,0.0,0.0,0.0,19
25177,ccl,16709,-0.61%,0.003648049,6110,61,0.0,0.0,0.0,19
25178,ccl,16712,0.03%,0.007895011,6110,61,0.0,0.0,0.0,19
25179,ccl,16713,1.50%,0.002862391,6110,61,0.0,0.0,0.0,19
25180,ccl,16714,0.71%,-0.010289105,6110,61,0.0,0.0,0.0,19
25181,ccl,16716,-2.74%,-0.01831506,6110,61,0.0,0.0,0.0,19
25182,ccl,16719,-0.87%,0.002749305,6110,61,0.0,0.0,0.0,19
25183,ccl,16720,-1.44%,0.002301409,6110,61,0.0,0.0,0.0,19
25184,ccl,16726,1.17%,-0.016069232,6110,61,0.0,0.0,0.0,19
25185,ccl,16727,0.11%,-0.001970045,6110,61,0.0,0.0,0.0,19
25186,ccl,16728,-0.29%,-0.01732827,6110,61,0.0,0.0,0.0,19
25187,ccl,16729,-1.92%,0.004571787,6110,61,0.0,0.0,0.0,19
25188,ccl,16730,2.88%,-0.004491244,6110,61,0.0,0.0,0.0,19
25189,ccl,16733,-0.32%,0.011762259,6110,61,0.0,0.0,0.0,19
25190,ccl,16734,2.81%,-0.002951659,6110,61,0.0,0.0,0.0,19
25191,ccl,16735,0.98%,0.00400675,6110,61,0.0,0.0,0.0,19
25192,ccl,16736,-0.66%,-0.013241125,6110,61,0.0,0.0,0.0,19
25193,ccl,16737,-2.62%,0.001441202,6110,61,0.0,0.0,0.0,19
25194,ccl,16740,-0.47%,0.023867881,6110,61,0.0,0.0,0.0,19
25195,ccl,16741,3.50%,0.000551193,6110,61,0.0,0.0,0.0,19
25196,ccl,16742,1.74%,0.003811361,6110,61,0.0,0.0,0.0,19
25197,ccl,16743,0.99%,0.014837744,6110,61,0.0,0.0,0.0,19
25198,ccl,16744,2.07%,-0.001233579,6110,61,0.0,0.0,0.0,19
25199,ccl,16747,0.23%,0.003898216,6110,61,0.0,0.0,0.0,19
25200,ccl,16748,0.99%,0.00047875,6110,61,0.0,0.0,0.0,19
25201,ccl,16749,0.66%,-0.000960229,6110,61,0.0,0.0,0.0,19
25202,ccl,16750,1.30%,0.000664336,6110,61,0.0,0.0,0.0,19
25203,ccl,16751,1.42%,0.010548682,6110,61,0.0,0.0,0.0,19
25204,ccl,16754,0.48%,0.000210066,6110,61,0.0,0.0,0.0,19
25205,ccl,16755,-0.76%,-0.002977548,6110,61,0.0,0.0,0.0,19
25206,ccl,16756,1.08%,-0.00762817,6110,61,0.0,0.0,0.0,19
25207,ccl,16757,0.11%,0.00434718,6110,61,0.0,0.0,0.0,19
25208,ccl,16758,-0.54%,0.006187298,6110,61,0.0,0.0,0.0,19
25209,ccl,16761,0.48%,0.002831195,6110,61,0.0,0.0,0.0,19
25210,ccl,16762,0.19%,0.000798148,6110,61,0.0,0.0,0.0,19
25211,ccl,16763,1.17%,0.004070302,6110,61,0.0,0.0,0.0,19
25212,ccl,16768,0.78%,-0.006314037,6110,61,0.0,0.0,0.0,19
25213,ccl,16770,0.80%,-0.002677462,6110,61,0.0,0.0,0.0,19
25214,ccl,16771,-0.74%,0.016151616,6110,61,0.0,0.0,0.0,19
25215,ccl,16772,0.59%,0.007778115,6110,61,0.0,0.0,0.0,19
25216,ccl,16775,1.81%,-0.003867152,6110,61,0.0,0.0,0.0,19
25217,ccl,16776,-1.21%,0.005263628,6110,61,0.0,0.0,0.0,19
25218,ccl,16777,-0.73%,-0.001029008,6110,61,0.0,0.0,0.0,19
25219,ccl,16778,0.12%,0.000453111,6110,61,0.0,0.0,0.0,19
25220,ccl,16779,-0.43%,-0.000208605,6110,61,0.0,0.0,0.0,19
25221,ccl,16782,-0.99%,-0.000188957,6110,61,0.0,0.0,0.0,19
25222,ccl,16784,0.25%,-0.001613403,6110,61,0.0,0.0,0.0,19
25223,ccl,16785,0.89%,-0.002073115,6110,61,0.0,0.0,0.0,19
25224,ccl,16786,-1.65%,0.007030468,6110,61,0.0,0.0,0.0,19
25225,ccl,16789,-2.36%,-0.001195537,6110,61,0.0,0.0,0.0,19
25226,ccl,16790,1.05%,0.003688377,6110,61,0.0,0.0,0.0,19
25227,ccl,16791,1.79%,0.005152506,6110,61,0.0,0.0,0.0,19
25228,ccl,16792,0.99%,-0.002005337,6110,61,0.0,0.0,0.0,19
25229,ccl,16800,-0.61%,0.001544142,6110,61,0.0,0.0,0.0,19
25230,ccl,16804,-0.36%,0.009705427,6110,61,0.0,0.0,0.0,19
25231,ccl,16805,-0.52%,0.009902844,6110,61,0.0,0.0,0.0,19
25232,ccl,16807,-0.24%,0.003033494,6110,61,0.0,0.0,0.0,19
25233,ccl,16810,-1.16%,0.001926807,6110,61,0.0,0.0,0.0,19
25234,ccl,16811,1.02%,-0.006339098,6110,61,0.0,0.0,0.0,19
25235,ccl,16812,-0.80%,0.00585686,6110,61,0.0,0.0,0.0,19
25236,ccl,16813,0.71%,0.003555372,6110,61,0.0,0.0,0.0,19
25237,ccl,16814,1.50%,-0.005679742,6110,61,0.0,0.0,0.333333343,19
25238,ccl,16820,1.06%,-0.007927621,6110,61,0.0,0.0,0.333333343,19
25239,ccl,16821,0.55%,-0.006031404,6110,61,0.0,0.0,0.333333343,19
