,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event,Bigevent,Upevent,Bigeventcount
6384,au,16553,,-0.013582746,7221,72,0.0,0.0,0.0,19
6385,au,16554,,-0.001417963,7221,72,0.0,0.0,0.0,19
6386,au,16559,,0.009095093,7221,72,0.0,0.0,0.0,19
6387,au,16560,,0.005167558,7221,72,0.0,0.0,0.0,19
6388,au,16561,,0.005707819,7221,72,0.0,0.0,0.0,19
6389,au,16562,,0.004337201,7221,72,0.0,0.0,0.0,19
6390,au,16565,,-0.003390596,7221,72,0.0,0.0,0.0,19
6391,au,16566,,-0.007306199,7221,72,0.0,0.0,0.0,19
6392,au,16567,,-0.002138066,7221,72,0.0,0.0,0.0,19
6393,au,16568,,0.00612259,7221,72,0.0,0.0,0.0,19
6394,au,16569,,4.99759e-05,7221,72,0.0,0.0,0.0,19
6395,au,16572,,-0.004197651,7221,72,0.0,0.0,0.0,19
6396,au,16573,,0.001030659,7221,72,0.0,0.0,0.0,19
6397,au,16574,,0.011437487,7221,72,0.0,0.0,0.0,19
6398,au,16575,,0.004704767,7221,72,0.0,0.0,0.0,19
6399,au,16576,,0.000876537,7221,72,0.0,0.0,0.0,19
6400,au,16579,,0.004109947,7221,72,0.0,0.0,0.0,19
6401,au,16580,,-0.000789218,7221,72,0.0,0.0,0.0,19
6402,au,16581,,-0.000570614,7221,72,0.0,0.0,0.0,19
6403,au,16582,,0.007013857,7221,72,0.0,0.0,0.0,19
6404,au,16583,,-0.000882414,7221,72,0.0,0.0,0.0,19
6405,au,16587,,0.00448707,7221,72,0.0,0.0,0.0,19
6406,au,16588,,0.013386121,7221,72,0.0,0.0,0.0,19
6407,au,16589,,-0.000151309,7221,72,0.0,0.0,0.0,19
6408,au,16596,,0.004257242,7221,72,0.0,0.0,0.0,19
6409,au,16597,,0.006048266,7221,72,0.0,0.0,0.0,19
6410,au,16600,,0.00398708,7221,72,0.0,0.0,0.0,19
6411,au,16601,,0.00138692,7221,72,0.0,0.0,0.0,19
6412,au,16602,,-0.004020325,7221,72,0.0,0.0,0.0,19
6413,au,16603,,0.00552928,7221,72,0.0,0.0,0.0,19
6414,au,16604,,0.001313935,7221,72,0.0,0.0,0.0,19
6415,au,16607,,-0.000337068,7221,72,0.0,0.0,0.0,19
6416,au,16608,,0.004808192,7221,72,0.0,0.0,0.0,19
6417,au,16609,,0.00116199,7221,72,0.0,0.0,0.0,19
6418,au,16610,,0.004202994,7221,72,0.0,0.0,0.0,19
6419,au,16611,,-0.008151721,7221,72,0.0,0.0,0.0,19
6420,au,16614,,-0.009713451,7221,72,0.0,0.0,0.0,19
6421,au,16615,,0.008522274,7221,72,0.0,0.0,0.0,19
6422,au,16616,,0.002964198,7221,72,0.0,0.0,0.0,19
6423,au,16617,,-0.003136038,7221,72,0.0,0.0,0.0,19
6424,au,16618,,0.007810287,7221,72,0.0,0.0,0.0,19
6425,au,16622,,0.000251759,7221,72,0.0,0.0,0.0,19
6426,au,16623,,0.005896191,7221,72,0.0,0.0,0.0,19
6427,au,16624,,-0.018221237,7221,72,0.0,0.0,0.0,19
6428,au,16625,,0.013775767,7221,72,0.0,0.0,0.0,19
6429,au,16628,,0.005260896,7221,72,0.0,0.0,0.0,19
6430,au,16629,,-0.003822247,7221,72,0.0,0.0,0.0,19
6431,au,16630,,0.005712415,7221,72,0.0,0.0,0.0,19
6432,au,16631,,0.004567566,7221,72,0.0,0.0,0.0,19
6433,au,16632,,-0.001803078,7221,72,0.0,0.0,0.0,19
6434,au,16635,,-0.00235759,7221,72,0.0,0.0,0.0,19
6435,au,16637,,0.001742948,7221,72,0.0,0.0,0.0,19
6436,au,16638,,0.00144099,7221,72,0.0,0.0,0.0,19
6437,au,16639,,0.000699887,7221,72,0.0,0.0,0.0,19
6438,au,16642,,0.004161065,7221,72,0.0,0.0,0.0,19
6439,au,16643,,0.000593994,7221,72,0.0,0.0,0.0,19
6440,au,16644,,0.002805696,7221,72,0.0,0.0,0.0,19
6441,au,16645,,0.004968441,7221,72,0.0,0.0,0.0,19
6442,au,16646,,-0.000589054,7221,72,0.0,0.0,0.0,19
6443,au,16649,,0.000929765,7221,72,0.0,0.0,0.0,19
6444,au,16650,,0.00751486,7221,72,0.0,0.0,0.0,19
6445,au,16651,,-0.001221051,7221,72,0.0,0.0,0.0,19
6446,au,16652,,-0.007534257,7221,72,0.0,0.0,0.0,19
6447,au,16653,,-0.003800867,7221,72,0.0,0.0,0.0,19
6448,au,16656,,0.006249821,7221,72,0.0,0.0,0.0,19
6449,au,16657,,0.00610608,7221,72,0.0,0.0,0.0,19
6450,au,16658,,0.008320427,7221,72,0.0,0.0,0.0,19
6451,au,16659,,-0.003109527,7221,72,0.0,0.0,0.0,19
6452,au,16660,,-0.002267577,7221,72,0.0,0.0,0.0,19
6453,au,16663,,-0.00040249,7221,72,0.0,0.0,0.0,19
6454,au,16664,,-0.00238477,7221,72,0.0,0.0,0.0,19
6455,au,16665,,-0.002567908,7221,72,0.0,0.0,0.0,19
6456,au,16666,,-0.003153555,7221,72,0.0,0.0,0.0,19
6457,au,16667,,0.009546662,7221,72,0.0,0.0,0.0,19
6458,au,16670,,0.000672486,7221,72,0.0,0.0,0.0,19
6459,au,16672,,-0.010565436,7221,72,0.0,0.0,0.0,19
6460,au,16673,,-0.006806104,7221,72,0.0,0.0,0.0,19
6461,au,16679,,0.004000885,7221,72,0.0,0.0,0.0,19
6462,au,16680,,0.007095878,7221,72,0.0,0.0,0.0,19
6463,au,16681,,-0.000449724,7221,72,0.0,0.0,0.0,19
6464,au,16685,,0.014010715,7221,72,0.0,0.0,0.0,19
6465,au,16686,,0.003797298,7221,72,0.0,0.0,0.0,19
6466,au,16687,,-0.000962805,7221,72,0.0,0.0,0.0,19
6467,au,16688,,0.003097197,7221,72,0.0,0.0,0.0,19
6468,au,16691,,0.002287577,7221,72,0.0,0.0,0.0,19
6469,au,16692,,-0.006935666,7221,72,0.0,0.0,0.0,19
6470,au,16693,,0.003318491,7221,72,0.0,0.0,0.0,19
6471,au,16694,,0.000246603,7221,72,0.0,0.0,0.0,19
6472,au,16695,,0.006011041,7221,72,0.0,0.0,0.0,19
6473,au,16698,,0.002443217,7221,72,0.0,0.0,0.0,19
6474,au,16699,,0.001109965,7221,72,0.0,0.0,0.0,19
6475,au,16700,,-0.010290694,7221,72,0.0,0.0,0.0,19
6476,au,16701,,-0.003597179,7221,72,0.0,0.0,0.0,19
6477,au,16702,,0.004717265,7221,72,0.0,0.0,0.0,19
6478,au,16706,,0.00889761,7221,72,0.0,0.0,0.0,19
6479,au,16707,,0.008527436,7221,72,0.0,0.0,0.0,19
6480,au,16708,,-0.003386793,7221,72,0.0,0.0,0.0,19
6481,au,16709,,0.003648049,7221,72,0.0,0.0,0.0,19
6482,au,16712,,0.007895011,7221,72,0.0,0.0,0.0,19
6483,au,16713,,0.002862391,7221,72,0.0,0.0,0.0,19
6484,au,16714,,-0.010289105,7221,72,0.0,0.0,0.0,19
6485,au,16716,,-0.01831506,7221,72,0.0,0.0,0.0,19
6486,au,16719,,0.002749305,7221,72,0.0,0.0,0.0,19
6487,au,16720,,0.002301409,7221,72,0.0,0.0,0.0,19
6488,au,16726,,-0.016069232,7221,72,0.0,0.0,0.0,19
6489,au,16727,,-0.001970045,7221,72,0.0,0.0,0.0,19
6490,au,16728,,-0.01732827,7221,72,0.0,0.0,0.0,19
6491,au,16729,,0.004571787,7221,72,0.0,0.0,0.0,19
6492,au,16730,,-0.004491244,7221,72,0.0,0.0,0.0,19
6493,au,16733,,0.011762259,7221,72,0.0,0.0,0.0,19
6494,au,16734,,-0.002951659,7221,72,0.0,0.0,0.0,19
6495,au,16735,,0.00400675,7221,72,0.0,0.0,0.0,19
6496,au,16736,,-0.013241125,7221,72,0.0,0.0,0.0,19
6497,au,16737,,0.001441202,7221,72,0.0,0.0,0.0,19
6498,au,16740,,0.023867881,7221,72,0.0,0.0,0.0,19
6499,au,16741,,0.000551193,7221,72,0.0,0.0,0.0,19
6500,au,16742,,0.003811361,7221,72,0.0,0.0,0.0,19
6501,au,16743,,0.014837744,7221,72,0.0,0.0,0.0,19
6502,au,16744,,-0.001233579,7221,72,0.0,0.0,0.0,19
6503,au,16747,,0.003898216,7221,72,0.0,0.0,0.0,19
6504,au,16748,,0.00047875,7221,72,0.0,0.0,0.0,19
6505,au,16749,,-0.000960229,7221,72,0.0,0.0,0.0,19
6506,au,16750,,0.000664336,7221,72,0.0,0.0,0.0,19
6507,au,16751,,0.010548682,7221,72,0.0,0.0,0.0,19
6508,au,16754,,0.000210066,7221,72,0.0,0.0,0.0,19
6509,au,16755,,-0.002977548,7221,72,0.0,0.0,0.0,19
6510,au,16756,,-0.00762817,7221,72,0.0,0.0,0.0,19
6511,au,16757,,0.00434718,7221,72,0.0,0.0,0.0,19
6512,au,16758,,0.006187298,7221,72,0.0,0.0,0.0,19
6513,au,16761,,0.002831195,7221,72,0.0,0.0,0.0,19
6514,au,16762,,0.000798148,7221,72,0.0,0.0,0.0,19
6515,au,16763,,0.004070302,7221,72,0.0,0.0,0.0,19
6516,au,16768,,-0.006314037,7221,72,0.0,0.0,0.0,19
6517,au,16770,,-0.002677462,7221,72,0.0,0.0,0.0,19
6518,au,16771,,0.016151616,7221,72,0.0,0.0,0.0,19
6519,au,16772,,0.007778115,7221,72,0.0,0.0,0.0,19
6520,au,16775,,-0.003867152,7221,72,0.0,0.0,0.0,19
6521,au,16776,,0.005263628,7221,72,0.0,0.0,0.0,19
6522,au,16777,,-0.001029008,7221,72,0.0,0.0,0.0,19
6523,au,16778,,0.000453111,7221,72,0.0,0.0,0.0,19
6524,au,16779,,-0.000208605,7221,72,0.0,0.0,0.0,19
6525,au,16782,,-0.000188957,7221,72,0.0,0.0,0.0,19
6526,au,16784,,-0.001613403,7221,72,0.0,0.0,0.0,19
6527,au,16785,,-0.002073115,7221,72,0.0,0.0,0.0,19
6528,au,16786,,0.007030468,7221,72,0.0,0.0,0.0,19
6529,au,16789,,-0.001195537,7221,72,0.0,0.0,0.0,19
6530,au,16790,,0.003688377,7221,72,0.0,0.0,0.0,19
6531,au,16791,,0.005152506,7221,72,0.0,0.0,0.0,19
6532,au,16792,,-0.002005337,7221,72,0.0,0.0,0.0,19
6533,au,16800,,0.001544142,7221,72,0.0,0.0,0.0,19
6534,au,16804,,0.009705427,7221,72,0.0,0.0,0.0,19
6535,au,16805,,0.009902844,7221,72,0.0,0.0,0.0,19
6536,au,16807,,0.003033494,7221,72,0.0,0.0,0.0,19
6537,au,16810,,0.001926807,7221,72,0.0,0.0,0.0,19
6538,au,16811,,-0.006339098,7221,72,0.0,0.0,0.0,19
6539,au,16812,,0.00585686,7221,72,0.0,0.0,0.0,19
6540,au,16813,,0.003555372,7221,72,0.0,0.0,0.0,19
6541,au,16814,,-0.005679742,7221,72,0.0,0.0,0.333333343,19
6542,au,16820,,-0.007927621,7221,72,0.0,0.0,0.333333343,19
6543,au,16821,,-0.006031404,7221,72,0.0,0.0,0.333333343,19
6544,au,16824,,-0.002429135,7221,72,0.0,0.0,0.0,19
6545,au,16825,,-0.00223297,7221,72,0.0,0.0,0.0,19
6546,au,16826,,0.011196016,7221,72,0.0,0.0,0.0,19
6547,au,16831,,0.020923153,7221,72,0.0,0.0,0.0,19
6548,au,16832,,-7.16685e-05,7221,72,0.0,0.0,0.0,19
6549,au,16833,,0.010718253,7221,72,0.0,0.0,0.0,19
6550,au,16834,,-0.008992765,7221,72,0.0,0.0,0.0,19
6551,au,16835,,0.000631297,7221,72,0.0,0.0,0.0,19
6552,au,16838,,0.001118773,7221,72,0.0,0.0,0.0,19
6553,au,16839,,-0.003188104,7221,72,0.0,0.0,0.0,19
6554,au,16840,,-0.001675563,7221,72,0.0,0.0,0.0,19
6555,au,16841,,0.011648284,7221,72,0.0,0.0,0.0,19
6556,au,16842,,-0.003731121,7221,72,0.0,0.0,0.0,19
6557,au,16845,,0.004986249,7221,72,0.0,0.0,0.0,19
6558,au,16846,,-0.001780125,7221,72,0.0,0.0,0.0,19
6559,au,16847,,0.001193982,7221,72,0.0,0.0,0.0,19
6560,au,16848,,0.005660912,7221,72,0.0,0.0,0.0,19
6561,au,16849,,0.002963163,7221,72,0.0,0.0,0.0,19
6562,au,16854,,0.011408137,7221,72,0.0,0.0,0.0,19
6563,au,16855,,-0.001788308,7221,72,0.0,0.0,0.0,19
6564,au,16856,,0.003122933,7221,72,0.0,0.0,0.0,19
6565,au,16859,,0.003001722,7221,72,0.0,0.0,0.0,19
6566,au,16860,,-0.013826441,7221,72,0.0,0.0,0.0,19
6567,au,16861,,0.008701265,7221,72,0.0,0.0,0.0,19
6568,au,16862,,-0.009022236,7221,72,0.0,0.0,0.0,19
6569,au,16863,,-0.000500383,7221,72,0.0,0.0,0.0,19
6570,au,16866,,0.005552707,7221,72,0.0,0.0,0.0,19
6571,au,16867,,-0.005619228,7221,72,0.0,0.0,0.0,19
6572,au,16868,,-0.008059735,7221,72,0.0,0.0,0.0,19
6573,au,16869,,0.007952871,7221,72,0.0,0.0,0.0,19
6574,au,16873,,0.015593877,7221,72,0.0,0.0,0.0,19
6575,au,16874,,0.00196626,7221,72,0.0,0.0,0.0,19
6576,au,16875,,0.00223254,7221,72,0.0,0.0,0.0,19
6577,au,16877,,0.001218492,7221,72,0.0,0.0,0.0,19
6578,au,16880,,0.002138162,7221,72,0.0,0.0,0.0,19
6579,au,16881,,0.001065252,7221,72,0.0,0.0,0.0,19
6580,au,16887,,-0.000748194,7221,72,0.0,0.0,0.0,19
6581,au,16888,,-0.005995859,7221,72,0.0,0.0,0.0,19
6582,au,16889,,0.002268787,7221,72,0.0,0.0,0.0,19
6583,au,16890,,0.007964583,7221,72,0.0,0.0,0.0,19
6584,au,16891,,-0.006541119,7221,72,0.0,0.0,0.0,19
6585,au,16894,,0.00827652,7221,72,0.0,0.0,0.0,19
6586,au,16895,,-0.004919846,7221,72,0.0,0.0,0.0,19
6587,au,16896,,0.003573296,7221,72,0.0,0.0,0.0,19
6588,au,16897,,0.002369758,7221,72,0.0,0.0,0.0,19
6589,au,16898,,-0.004503097,7221,72,0.0,0.0,0.0,19
6590,au,16901,,0.004853779,7221,72,0.0,0.0,0.0,19
6591,au,16902,,-0.01157693,7221,72,0.0,0.0,0.0,19
6592,au,16903,,-0.002001526,7221,72,0.0,0.0,0.0,19
6593,au,16909,,0.002903264,7221,72,0.0,0.0,0.0,19
6594,au,16910,,0.011480498,7221,72,0.0,0.0,0.0,19
6595,au,16911,,0.002480215,7221,72,0.0,0.0,0.0,19
6596,au,16912,,0.007026439,7221,72,0.0,0.0,0.0,19
6597,au,16915,,-0.005277056,7221,72,0.0,0.0,0.0,19
6598,au,16916,,-0.000686719,7221,72,0.0,0.0,0.0,19
6599,au,16917,,0.001890473,7221,72,0.333333343,0.052631579,0.0,19
6600,au,16918,,-0.005492994,7221,72,0.333333343,0.052631579,0.0,19
6601,au,16919,,-0.004037376,7221,72,0.333333343,0.052631579,0.0,19
6602,au,16923,,0.010164151,7221,72,0.0,0.052631579,0.0,19
6603,au,16924,,-0.007931815,7221,72,0.0,0.052631579,0.0,19
6604,au,16925,,0.004641184,7221,72,0.0,0.052631579,0.0,19
6605,au,16926,,0.00989179,7221,72,0.0,0.052631579,0.0,19
6606,au,16929,,0.000751265,7221,72,0.0,0.052631579,0.0,19
6607,au,16930,,0.004287696,7221,72,0.0,0.052631579,0.0,19
6608,au,16931,,-0.005525808,7221,72,0.0,0.052631579,0.0,19
6609,au,16932,,-0.003407056,7221,72,0.0,0.052631579,0.0,19
6610,au,16933,,-0.020820193,7221,72,0.0,0.052631579,0.0,19
6611,au,16936,,-0.014615751,7221,72,0.0,0.052631579,0.0,19
6612,au,16937,,0.001490224,7221,72,0.0,0.052631579,0.0,19
6613,au,16939,,-0.032393619,7221,72,0.0,0.052631579,0.0,19
6614,au,16943,,-0.028261989,7221,72,0.0,0.052631579,0.0,19
6615,au,16944,,0.025466651,7221,72,0.0,0.052631579,0.0,19
6616,au,16945,,-0.013999758,7221,72,0.0,0.052631579,0.0,19
6617,au,16946,,0.012307495,7221,72,0.0,0.052631579,0.0,19
6618,au,16947,,0.019743491,7221,72,0.0,0.0,0.0,19
6619,au,16951,,-0.022641221,7221,72,0.0,0.0,0.0,19
6620,au,16952,,0.009523373,7221,72,0.0,0.0,0.0,19
6621,au,16953,,0.003891957,7221,72,0.0,0.0,0.0,19
6622,au,16954,,0.00267105,7221,72,0.0,0.0,0.0,19
6623,au,16957,,-0.006293719,7221,72,0.0,0.0,0.0,19
6624,au,16958,,-0.019959984,7221,72,0.0,0.0,0.0,19
6625,au,16959,,0.005397194,7221,72,0.0,0.0,0.0,19
6626,au,16960,,-0.026786819,7221,72,0.0,0.0,0.0,19
6627,au,16961,,0.016887888,7221,72,0.0,0.0,0.0,19
6628,au,16964,,-0.007890555,7221,72,0.0,0.0,0.0,19
6629,au,16965,,-0.022343114,7221,72,0.0,0.0,0.0,19
6630,au,16966,,0.001979113,7221,72,0.0,0.0,0.0,19
6631,au,16971,,0.024892844,7221,72,0.0,0.0,0.0,19
