,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event,Bigevent,Upevent,Bigeventcount
97151,f_iml,16553,-1.25%,-0.013582746,1450,14,0.0,0.0,0.0,19
97152,f_iml,16554,0.36%,-0.001417963,1450,14,0.0,0.0,0.0,19
97153,f_iml,16559,-0.09%,0.009095093,1450,14,0.0,0.0,0.0,19
97154,f_iml,16560,-1.06%,0.005167558,1450,14,0.0,0.0,0.0,19
97155,f_iml,16561,0.89%,0.005707819,1450,14,0.0,0.0,0.0,19
97156,f_iml,16562,0.00%,0.004337201,1450,14,0.0,0.0,0.0,19
97157,f_iml,16565,0.62%,-0.003390596,1450,14,0.0,0.0,0.0,19
97158,f_iml,16566,-0.53%,-0.007306199,1450,14,0.0,0.0,0.0,19
97159,f_iml,16567,-1.68%,-0.002138066,1450,14,0.0,0.0,0.0,19
97160,f_iml,16568,1.26%,0.00612259,1450,14,0.0,0.0,0.0,19
97161,f_iml,16569,-0.71%,4.99759e-05,1450,14,0.0,0.0,0.0,19
97162,f_iml,16572,0.00%,-0.004197651,1450,14,0.0,0.0,0.0,19
97163,f_iml,16573,-0.45%,0.001030659,1450,14,0.0,0.0,0.0,19
97164,f_iml,16574,1.57%,0.011437487,1450,14,0.0,0.0,0.0,19
97165,f_iml,16575,1.27%,0.004704767,1450,14,0.0,0.0,0.0,19
97166,f_iml,16576,5.03%,0.000876537,1450,14,0.0,0.0,0.0,19
97167,f_iml,16579,0.00%,0.004109947,1450,14,0.0,0.0,0.0,19
97168,f_iml,16580,-0.34%,-0.000789218,1450,14,0.0,0.0,0.0,19
97169,f_iml,16581,0.00%,-0.000570614,1450,14,0.0,0.0,0.0,19
97170,f_iml,16582,0.60%,0.007013857,1450,14,0.0,0.0,0.0,19
97171,f_iml,16583,-0.60%,-0.000882414,1450,14,0.0,0.0,0.0,19
97172,f_iml,16587,0.60%,0.00448707,1450,14,0.0,0.0,0.0,19
97173,f_iml,16588,1.37%,0.013386121,1450,14,0.0,0.0,0.0,19
97174,f_iml,16589,-0.34%,-0.000151309,1450,14,0.0,0.0,0.0,19
97175,f_iml,16596,0.34%,0.004257242,1450,14,0.0,0.0,0.0,19
97176,f_iml,16597,-0.17%,0.006048266,1450,14,0.0,0.0,0.0,19
97177,f_iml,16600,0.51%,0.00398708,1450,14,0.0,0.0,0.0,19
97178,f_iml,16601,-0.08%,0.00138692,1450,14,0.0,0.0,0.0,19
97179,f_iml,16602,0.42%,-0.004020325,1450,14,0.0,0.0,0.0,19
97180,f_iml,16603,-0.34%,0.00552928,1450,14,0.0,0.0,0.0,19
97181,f_iml,16604,0.08%,0.001313935,1450,14,0.0,0.0,0.0,19
97182,f_iml,16607,-1.69%,-0.000337068,1450,14,0.0,0.0,0.0,19
97183,f_iml,16608,-0.17%,0.004808192,1450,14,0.0,0.0,0.0,19
97184,f_iml,16609,-0.43%,0.00116199,1450,14,0.0,0.0,0.0,19
97185,f_iml,16610,-0.09%,0.004202994,1450,14,0.0,0.0,0.0,19
97186,f_iml,16611,-1.99%,-0.008151721,1450,14,0.0,0.0,0.0,19
97187,f_iml,16614,-1.15%,-0.009713451,1450,14,0.0,0.0,0.0,19
97188,f_iml,16615,-0.90%,0.008522274,1450,14,0.0,0.0,0.0,19
97189,f_iml,16616,2.26%,0.002964198,1450,14,0.0,0.0,0.0,19
97190,f_iml,16617,0.62%,-0.003136038,1450,14,0.0,0.0,0.0,19
97191,f_iml,16618,0.18%,0.007810287,1450,14,0.0,0.0,0.0,19
97192,f_iml,16622,-0.88%,0.000251759,1450,14,0.0,0.0,0.0,19
97193,f_iml,16623,0.62%,0.005896191,1450,14,0.0,0.0,0.0,19
97194,f_iml,16624,-0.89%,-0.018221237,1450,14,0.0,0.0,0.0,19
97195,f_iml,16625,0.27%,0.013775767,1450,14,0.0,0.0,0.0,19
97196,f_iml,16628,0.80%,0.005260896,1450,14,0.0,0.0,0.0,19
97197,f_iml,16629,1.06%,-0.003822247,1450,14,0.0,0.0,0.0,19
97198,f_iml,16630,0.61%,0.005712415,1450,14,0.0,0.0,0.0,19
97199,f_iml,16631,0.61%,0.004567566,1450,14,0.0,0.0,0.0,19
97200,f_iml,16632,-0.86%,-0.001803078,1450,14,0.0,0.0,0.0,19
97201,f_iml,16635,-0.09%,-0.00235759,1450,14,0.0,0.0,0.0,19
97202,f_iml,16637,-0.26%,0.001742948,1450,14,0.0,0.0,0.0,19
97203,f_iml,16638,0.95%,0.00144099,1450,14,0.0,0.0,0.0,19
97204,f_iml,16639,-0.43%,0.000699887,1450,14,0.0,0.0,0.0,19
97205,f_iml,16642,0.17%,0.004161065,1450,14,0.0,0.0,0.0,19
97206,f_iml,16643,1.46%,0.000593994,1450,14,0.0,0.0,0.0,19
