,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event,Bigevent,Upevent,Bigeventcount
2280,al,16553,-1.59%,-0.013582746,6512,65,0.0,0.0,0.0,19
2281,al,16554,-1.29%,-0.001417963,6512,65,0.0,0.0,0.0,19
2282,al,16559,-1.62%,0.009095093,6512,65,0.0,0.0,0.0,19
2283,al,16560,0.90%,0.005167558,6512,65,0.0,0.0,0.0,19
2284,al,16561,0.73%,0.005707819,6512,65,0.0,0.0,0.0,19
2285,al,16562,-0.57%,0.004337201,6512,65,0.0,0.0,0.0,19
2286,al,16565,-0.08%,-0.003390596,6512,65,0.0,0.0,0.0,19
2287,al,16566,0.49%,-0.007306199,6512,65,0.0,0.0,0.0,19
2288,al,16567,-0.81%,-0.002138066,6512,65,0.0,0.0,0.0,19
2289,al,16568,1.88%,0.00612259,6512,65,0.0,0.0,0.0,19
2290,al,16569,2.16%,4.99759e-05,6512,65,0.0,0.0,0.0,19
2291,al,16572,0.47%,-0.004197651,6512,65,0.0,0.0,0.0,19
2292,al,16573,0.31%,0.001030659,6512,65,0.0,0.0,0.0,19
2293,al,16574,1.17%,0.011437487,6512,65,0.0,0.0,0.0,19
2294,al,16575,0.69%,0.004704767,6512,65,0.0,0.0,0.0,19
2295,al,16576,-0.69%,0.000876537,6512,65,0.0,0.0,0.0,19
2296,al,16579,0.92%,0.004109947,6512,65,0.0,0.0,0.0,19
2297,al,16580,-1.75%,-0.000789218,6512,65,0.0,0.0,0.0,19
2298,al,16581,0.08%,-0.000570614,6512,65,0.0,0.0,0.0,19
2299,al,16582,0.47%,0.007013857,6512,65,0.0,0.0,0.0,19
2300,al,16583,0.00%,-0.000882414,6512,65,0.0,0.0,0.0,19
2301,al,16587,-0.08%,0.00448707,6512,65,0.0,0.0,0.0,19
2302,al,16588,-0.15%,0.013386121,6512,65,0.0,0.0,0.0,19
2303,al,16589,-1.01%,-0.000151309,6512,65,0.0,0.0,0.0,19
2304,al,16596,-0.77%,0.004257242,6512,65,0.0,0.0,0.0,19
2305,al,16597,0.39%,0.006048266,6512,65,0.0,0.0,0.0,19
2306,al,16600,1.69%,0.00398708,6512,65,0.0,0.0,0.0,19
2307,al,16601,-0.76%,0.00138692,6512,65,0.0,0.0,0.0,19
2308,al,16602,-0.15%,-0.004020325,6512,65,0.0,0.0,0.0,19
2309,al,16603,0.69%,0.00552928,6512,65,0.0,0.0,0.0,19
2310,al,16604,-0.30%,0.001313935,6512,65,0.0,0.0,0.0,19
2311,al,16607,-1.97%,-0.000337068,6512,65,0.0,0.0,0.0,19
2312,al,16608,0.00%,0.004808192,6512,65,0.0,0.0,0.0,19
2313,al,16609,0.00%,0.00116199,6512,65,0.0,0.0,0.0,19
2314,al,16610,-1.32%,0.004202994,6512,65,0.0,0.0,0.0,19
2315,al,16611,-0.86%,-0.008151721,6512,65,0.0,0.0,0.0,19
2316,al,16614,-2.69%,-0.009713451,6512,65,0.0,0.0,0.0,19
2317,al,16615,0.08%,0.008522274,6512,65,0.0,0.0,0.0,19
2318,al,16616,2.44%,0.002964198,6512,65,0.0,0.0,0.0,19
2319,al,16617,-0.32%,-0.003136038,6512,65,0.0,0.0,0.0,19
2320,al,16618,0.00%,0.007810287,6512,65,0.0,0.0,0.0,19
2321,al,16622,-0.56%,0.000251759,6512,65,0.0,0.0,0.0,19
2322,al,16623,0.56%,0.005896191,6512,65,0.0,0.0,0.0,19
2323,al,16624,-1.27%,-0.018221237,6512,65,0.0,0.0,0.0,19
2324,al,16625,3.06%,0.013775767,6512,65,0.0,0.0,0.0,19
2325,al,16628,1.95%,0.005260896,6512,65,0.0,0.0,0.0,19
2326,al,16629,0.69%,-0.003822247,6512,65,0.0,0.0,0.0,19
2327,al,16630,0.30%,0.005712415,6512,65,0.0,0.0,0.0,19
2328,al,16631,1.67%,0.004567566,6512,65,0.0,0.0,0.0,19
2329,al,16632,0.90%,-0.001803078,6512,65,0.0,0.0,0.0,19
2330,al,16635,-0.30%,-0.00235759,6512,65,0.0,0.0,0.0,19
2331,al,16637,0.00%,0.001742948,6512,65,0.0,0.0,0.0,19
2332,al,16638,0.07%,0.00144099,6512,65,0.0,0.0,0.0,19
2333,al,16639,-0.66%,0.000699887,6512,65,0.0,0.0,0.0,19
2334,al,16642,-0.30%,0.004161065,6512,65,0.0,0.0,0.0,19
2335,al,16643,-0.07%,0.000593994,6512,65,0.0,0.0,0.0,19
2336,al,16644,-0.15%,0.002805696,6512,65,0.0,0.0,0.0,19
2337,al,16645,0.22%,0.004968441,6512,65,0.0,0.0,0.0,19
2338,al,16646,0.67%,-0.000589054,6512,65,0.0,0.0,0.0,19
2339,al,16649,0.00%,0.000929765,6512,65,0.0,0.0,0.0,19
2340,al,16650,1.70%,0.00751486,6512,65,0.0,0.0,0.0,19
2341,al,16651,-1.46%,-0.001221051,6512,65,0.0,0.0,0.0,19
