,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event,Bigevent,Upevent,Bigeventcount
8208,b_belg,16553,,-0.013582746,6420,64,0.0,0.0,0.0,19
8209,b_belg,16554,,-0.001417963,6420,64,0.0,0.0,0.0,19
8210,b_belg,16559,,0.009095093,6420,64,0.0,0.0,0.0,19
8211,b_belg,16560,,0.005167558,6420,64,0.0,0.0,0.0,19
8212,b_belg,16561,,0.005707819,6420,64,0.0,0.0,0.0,19
8213,b_belg,16562,,0.004337201,6420,64,0.0,0.0,0.0,19
8214,b_belg,16565,,-0.003390596,6420,64,0.0,0.0,0.0,19
8215,b_belg,16566,,-0.007306199,6420,64,0.0,0.0,0.0,19
8216,b_belg,16567,,-0.002138066,6420,64,0.0,0.0,0.0,19
8217,b_belg,16568,,0.00612259,6420,64,0.0,0.0,0.0,19
8218,b_belg,16569,,4.99759e-05,6420,64,0.0,0.0,0.0,19
8219,b_belg,16572,,-0.004197651,6420,64,0.0,0.0,0.0,19
8220,b_belg,16573,,0.001030659,6420,64,0.0,0.0,0.0,19
8221,b_belg,16574,,0.011437487,6420,64,0.0,0.0,0.0,19
8222,b_belg,16575,,0.004704767,6420,64,0.0,0.0,0.0,19
8223,b_belg,16576,,0.000876537,6420,64,0.0,0.0,0.0,19
8224,b_belg,16579,,0.004109947,6420,64,0.0,0.0,0.0,19
8225,b_belg,16580,,-0.000789218,6420,64,0.0,0.0,0.0,19
8226,b_belg,16581,,-0.000570614,6420,64,0.0,0.0,0.0,19
8227,b_belg,16582,,0.007013857,6420,64,0.0,0.0,0.0,19
8228,b_belg,16583,,-0.000882414,6420,64,0.0,0.0,0.0,19
8229,b_belg,16587,,0.00448707,6420,64,0.0,0.0,0.0,19
8230,b_belg,16588,,0.013386121,6420,64,0.0,0.0,0.0,19
8231,b_belg,16589,,-0.000151309,6420,64,0.0,0.0,0.0,19
8232,b_belg,16596,,0.004257242,6420,64,0.0,0.0,0.0,19
8233,b_belg,16597,,0.006048266,6420,64,0.0,0.0,0.0,19
8234,b_belg,16600,,0.00398708,6420,64,0.0,0.0,0.0,19
8235,b_belg,16601,,0.00138692,6420,64,0.0,0.0,0.0,19
8236,b_belg,16602,,-0.004020325,6420,64,0.0,0.0,0.0,19
8237,b_belg,16603,,0.00552928,6420,64,0.0,0.0,0.0,19
8238,b_belg,16604,,0.001313935,6420,64,0.0,0.0,0.0,19
8239,b_belg,16607,,-0.000337068,6420,64,0.0,0.0,0.0,19
8240,b_belg,16608,,0.004808192,6420,64,0.0,0.0,0.0,19
8241,b_belg,16609,,0.00116199,6420,64,0.0,0.0,0.0,19
8242,b_belg,16610,,0.004202994,6420,64,0.0,0.0,0.0,19
8243,b_belg,16611,,-0.008151721,6420,64,0.0,0.0,0.0,19
8244,b_belg,16614,,-0.009713451,6420,64,0.0,0.0,0.0,19
8245,b_belg,16615,,0.008522274,6420,64,0.0,0.0,0.0,19
8246,b_belg,16616,,0.002964198,6420,64,0.0,0.0,0.0,19
8247,b_belg,16617,,-0.003136038,6420,64,0.0,0.0,0.0,19
8248,b_belg,16618,,0.007810287,6420,64,0.0,0.0,0.0,19
8249,b_belg,16622,,0.000251759,6420,64,0.0,0.0,0.0,19
8250,b_belg,16623,,0.005896191,6420,64,0.0,0.0,0.0,19
8251,b_belg,16624,,-0.018221237,6420,64,0.0,0.0,0.0,19
8252,b_belg,16625,,0.013775767,6420,64,0.0,0.0,0.0,19
8253,b_belg,16628,,0.005260896,6420,64,0.0,0.0,0.0,19
8254,b_belg,16629,,-0.003822247,6420,64,0.0,0.0,0.0,19
8255,b_belg,16630,,0.005712415,6420,64,0.0,0.0,0.0,19
8256,b_belg,16631,,0.004567566,6420,64,0.0,0.0,0.0,19
8257,b_belg,16632,,-0.001803078,6420,64,0.0,0.0,0.0,19
