,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event,Bigevent,Upevent,Bigeventcount
21888,bp,16553,0.42%,-0.013582746,2320,23,0.0,0.0,0.0,19
21889,bp,16554,,-0.001417963,2320,23,0.0,0.0,0.0,19
21890,bp,16559,,0.009095093,2320,23,0.0,0.0,0.0,19
21891,bp,16560,,0.005167558,2320,23,0.0,0.0,0.0,19
21892,bp,16561,,0.005707819,2320,23,0.0,0.0,0.0,19
21893,bp,16562,,0.004337201,2320,23,0.0,0.0,0.0,19
21894,bp,16565,,-0.003390596,2320,23,0.0,0.0,0.0,19
21895,bp,16566,,-0.007306199,2320,23,0.0,0.0,0.0,19
21896,bp,16567,,-0.002138066,2320,23,0.0,0.0,0.0,19
21897,bp,16568,,0.00612259,2320,23,0.0,0.0,0.0,19
21898,bp,16569,,4.99759e-05,2320,23,0.0,0.0,0.0,19
21899,bp,16572,,-0.004197651,2320,23,0.0,0.0,0.0,19
21900,bp,16573,,0.001030659,2320,23,0.0,0.0,0.0,19
21901,bp,16574,,0.011437487,2320,23,0.0,0.0,0.0,19
21902,bp,16575,,0.004704767,2320,23,0.0,0.0,0.0,19
21903,bp,16576,,0.000876537,2320,23,0.0,0.0,0.0,19
21904,bp,16579,,0.004109947,2320,23,0.0,0.0,0.0,19
21905,bp,16580,,-0.000789218,2320,23,0.0,0.0,0.0,19
21906,bp,16581,,-0.000570614,2320,23,0.0,0.0,0.0,19
21907,bp,16582,,0.007013857,2320,23,0.0,0.0,0.0,19
21908,bp,16583,,-0.000882414,2320,23,0.0,0.0,0.0,19
21909,bp,16587,,0.00448707,2320,23,0.0,0.0,0.0,19
21910,bp,16588,,0.013386121,2320,23,0.0,0.0,0.0,19
21911,bp,16589,,-0.000151309,2320,23,0.0,0.0,0.0,19
21912,bp,16596,,0.004257242,2320,23,0.0,0.0,0.0,19
21913,bp,16597,,0.006048266,2320,23,0.0,0.0,0.0,19
21914,bp,16600,,0.00398708,2320,23,0.0,0.0,0.0,19
21915,bp,16601,,0.00138692,2320,23,0.0,0.0,0.0,19
21916,bp,16602,,-0.004020325,2320,23,0.0,0.0,0.0,19
21917,bp,16603,,0.00552928,2320,23,0.0,0.0,0.0,19
21918,bp,16604,,0.001313935,2320,23,0.0,0.0,0.0,19
21919,bp,16607,,-0.000337068,2320,23,0.0,0.0,0.0,19
21920,bp,16608,,0.004808192,2320,23,0.0,0.0,0.0,19
21921,bp,16609,,0.00116199,2320,23,0.0,0.0,0.0,19
21922,bp,16610,,0.004202994,2320,23,0.0,0.0,0.0,19
